TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
SAS,SAS vs. TOR,04/13/2025,W,12,39,16,25,64.0,5,7,71.4,2,2,100.0,3,12,15,8,1,4,1,3,18
CHI,CHI @ PHI,04/13/2025,W,12,37,14,26,53.8,4,11,36.4,5,8,62.5,1,14,15,9,1,4,1,2,18
DEN,DEN @ HOU,04/13/2025,W,12,37,15,24,62.5,3,7,42.9,4,4,100.0,3,12,15,11,2,2,3,3,18
MEM,MEM vs. DAL,04/13/2025,W,12,37,15,26,57.7,4,11,36.4,3,3,100.0,6,8,14,10,2,3,0,6,16
POR,POR vs. LAL,04/13/2025,W,12,31,12,27,44.4,4,10,40.0,3,4,75.0,7,9,16,9,4,2,3,4,13
MIN,MIN vs. UTA,04/13/2025,W,12,40,17,24,70.8,4,8,50.0,2,2,100.0,3,9,12,7,3,0,2,6,12
DET,DET @ MIL,04/13/2025,L,12,37,15,22,68.2,7,12,58.3,0,1,0.0,3,5,8,11,4,2,1,4,10
NYK,NYK @ BKN,04/13/2025,W,12,27,8,23,34.8,4,13,30.8,7,7,100.0,3,11,14,7,3,1,1,7,10
CHA,CHA @ BOS,04/13/2025,L,12,25,8,19,42.1,5,10,50.0,4,8,50.0,2,12,14,7,2,0,1,7,10
SAC,SAC vs. PHX,04/13/2025,W,12,29,13,25,52.0,3,9,33.3,0,0,0.0,2,10,12,8,1,3,0,0,8
ORL,ORL @ ATL,04/13/2025,L,12,38,14,27,51.9,5,11,45.5,5,7,71.4,5,8,13,9,1,2,2,0,4
OKC,OKC @ NOP,04/13/2025,W,12,26,10,25,40.0,3,14,21.4,3,5,60.0,5,6,11,5,2,1,0,6,3
WAS,WAS @ MIA,04/13/2025,W,12,28,13,22,59.1,2,6,33.3,0,0,0.0,0,11,11,8,2,2,0,3,2
GSW,GSW vs. LAC,04/13/2025,L,12,24,10,17,58.8,2,4,50.0,2,4,50.0,0,5,5,9,3,3,1,5,1
CLE,CLE vs. IND,04/13/2025,L,12,24,8,22,36.4,4,14,28.6,4,9,44.4,5,9,14,3,3,1,2,6,1
IND,IND @ CLE,04/13/2025,W,12,23,8,21,38.1,1,7,14.3,6,8,75.0,2,9,11,3,1,2,1,6,-1
LAC,LAC @ GSW,04/13/2025,W,12,23,10,19,52.6,2,7,28.6,1,2,50.0,5,7,12,3,6,2,0,6,-1
MIA,MIA vs. WAS,04/13/2025,L,12,26,11,23,47.8,3,10,30.0,1,2,50.0,1,9,10,6,2,1,0,1,-2
NOP,NOP vs. OKC,04/13/2025,L,12,23,8,21,38.1,3,12,25.0,4,5,80.0,4,9,13,5,5,1,1,5,-3
ATL,ATL vs. ORL,04/13/2025,W,12,34,15,27,55.6,3,8,37.5,1,1,100.0,4,9,13,9,3,1,1,5,-4
PHX,PHX @ SAC,04/13/2025,L,12,21,8,21,38.1,5,15,33.3,0,0,0.0,2,8,10,8,5,1,1,3,-8
MIL,MIL vs. DET,04/13/2025,W,12,27,11,19,57.9,5,9,55.6,0,0,0.0,1,3,4,8,5,0,2,2,-10
BKN,BKN vs. NYK,04/13/2025,L,12,17,5,19,26.3,3,12,25.0,4,4,100.0,2,11,13,5,6,1,0,8,-10
BOS,BOS vs. CHA,04/13/2025,W,12,15,4,21,19.0,1,13,7.7,6,9,66.7,3,11,14,3,2,2,1,5,-10
UTA,UTA @ MIN,04/13/2025,L,12,28,10,19,52.6,3,7,42.9,5,6,83.3,1,2,3,4,2,0,0,4,-12
LAL,LAL @ POR,04/13/2025,L,12,18,7,23,30.4,1,6,16.7,3,4,75.0,4,9,13,3,7,3,4,4,-13
DAL,DAL @ MEM,04/13/2025,L,12,21,5,17,29.4,1,9,11.1,10,13,76.9,3,5,8,4,4,2,0,2,-16
TOR,TOR @ SAS,04/13/2025,L,12,21,8,24,33.3,2,11,18.2,3,5,60.0,5,6,11,5,5,0,0,4,-18
HOU,HOU vs. DEN,04/13/2025,L,12,19,8,24,33.3,2,9,22.2,1,3,33.3,5,6,11,3,4,1,1,5,-18
PHI,PHI vs. CHI,04/13/2025,L,12,19,7,24,29.2,1,11,9.1,4,4,100.0,2,12,14,2,5,1,2,5,-18
PHX,PHX vs. SAS,04/11/2025,W,12,39,15,23,65.2,5,9,55.6,4,5,80.0,2,11,13,11,2,3,3,2,22
MIA,MIA @ NOP,04/11/2025,W,12,39,16,26,61.5,6,13,46.2,1,2,50.0,5,12,17,9,4,4,1,2,21
BOS,BOS vs. CHA,04/11/2025,W,12,37,14,23,60.9,7,11,63.6,2,3,66.7,2,10,12,9,3,1,2,3,15
CHI,CHI vs. WAS,04/11/2025,W,12,38,14,25,56.0,4,9,44.4,6,6,100.0,3,12,15,11,3,4,3,7,13
MIN,MIN vs. BKN,04/11/2025,W,12,34,12,16,75.0,4,8,50.0,6,10,60.0,0,9,9,10,3,1,1,4,13
ATL,ATL @ PHI,04/11/2025,W,12,31,11,27,40.7,4,12,33.3,5,7,71.4,6,12,18,7,3,2,1,4,12
ORL,ORL @ IND,04/11/2025,W,12,37,13,21,61.9,3,5,60.0,8,9,88.9,2,11,13,9,5,3,2,9,10
GSW,GSW @ POR,04/11/2025,W,12,27,10,22,45.5,2,10,20.0,5,6,83.3,1,8,9,8,3,6,2,7,7
OKC,OKC @ UTA,04/11/2025,W,12,34,13,24,54.2,5,11,45.5,3,3,100.0,1,10,11,10,3,2,1,5,6
CLE,CLE @ NYK,04/11/2025,W,12,28,11,22,50.0,1,4,25.0,5,8,62.5,6,8,14,7,4,2,0,7,4
