KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
NOP-GSW-04/10/2022,NOP,NOP vs. GSW,04/10/2022,L,12.0,22,10,24,0.417,2,9,0.222,0,2,0.0,3,3,6,7,3.0,3,0,9,-19.0,GSW,GSW @ NOP,04/10/2022,W,12.0,41,13,18,0.722,6,8,0.75,9,11,0.818,2,11,13,9,4.0,1,1,3,19.0
MEM-BOS-04/10/2022,MEM,MEM vs. BOS,04/10/2022,L,12.0,24,7,19,0.368,3,7,0.429,7,13,0.538,2,4,6,4,5.0,4,2,6,-16.0,BOS,BOS @ MEM,04/10/2022,W,12.0,40,14,21,0.667,7,11,0.636,5,5,1.0,1,11,12,6,7.0,3,0,8,16.0
POR-UTA-04/10/2022,POR,POR vs. UTA,04/10/2022,L,12.0,21,7,19,0.368,2,10,0.2,5,7,0.714,2,7,9,6,5.0,2,1,7,-15.0,UTA,UTA @ POR,04/10/2022,W,12.0,36,11,20,0.55,4,11,0.364,10,12,0.833,4,10,14,7,3.0,2,0,6,15.0
MIN-CHI-04/10/2022,MIN,MIN vs. CHI,04/10/2022,L,12.0,26,10,21,0.476,3,11,0.273,3,4,0.75,1,4,5,7,6.0,2,2,5,-11.0,CHI,CHI @ MIN,04/10/2022,W,12.0,37,13,20,0.65,4,6,0.667,7,10,0.7,2,9,11,7,6.0,5,2,3,11.0
ORL-MIA-04/10/2022,ORL,ORL vs. MIA,04/10/2022,W,12.0,37,12,21,0.571,5,11,0.455,8,10,0.8,2,12,14,9,2.0,0,1,7,9.0,MIA,MIA @ ORL,04/10/2022,L,12.0,28,9,21,0.429,5,9,0.556,5,8,0.625,1,7,8,4,2.0,1,1,6,-9.0
PHX-SAC-04/10/2022,PHX,PHX vs. SAC,04/10/2022,L,12.0,27,11,28,0.393,5,12,0.417,0,0,0.0,6,5,11,8,4.0,3,1,7,-7.0,SAC,SAC @ PHX,04/10/2022,W,12.0,34,12,18,0.667,4,6,0.667,6,9,0.667,1,8,9,5,4.0,3,3,1,7.0
CLE-MIL-04/10/2022,CLE,CLE vs. MIL,04/10/2022,W,12.0,33,13,25,0.52,2,9,0.222,5,6,0.833,3,12,15,10,3.0,2,2,5,7.0,MIL,MIL @ CLE,04/10/2022,L,12.0,26,9,24,0.375,4,10,0.4,4,7,0.571,3,9,12,7,4.0,3,1,4,-7.0
LAC-OKC-04/10/2022,LAC,LAC vs. OKC,04/10/2022,W,12.0,27,10,24,0.417,2,5,0.4,5,7,0.714,3,10,13,7,3.0,2,2,4,-6.0,OKC,OKC @ LAC,04/10/2022,L,12.0,33,14,28,0.5,4,10,0.4,1,1,1.0,3,10,13,5,2.0,2,0,5,6.0
NYK-TOR-04/10/2022,NYK,NYK vs. TOR,04/10/2022,W,12.0,20,8,21,0.381,4,13,0.308,0,2,0.0,4,11,15,7,8.0,2,1,4,-6.0,TOR,TOR @ NYK,04/10/2022,L,12.0,26,10,26,0.385,2,12,0.167,4,4,1.0,2,10,12,9,4.0,5,0,4,6.0
BKN-IND-04/10/2022,BKN,BKN vs. IND,04/10/2022,W,12.0,35,11,18,0.611,2,6,0.333,11,12,0.917,3,9,12,6,5.0,3,2,3,4.0,IND,IND @ BKN,04/10/2022,L,12.0,31,11,28,0.393,4,12,0.333,5,6,0.833,6,3,9,9,3.0,4,0,9,-4.0
PHI-DET-04/10/2022,PHI,PHI vs. DET,04/10/2022,W,12.0,26,9,21,0.429,2,8,0.25,6,8,0.75,3,10,13,6,3.0,3,0,7,-4.0,DET,DET @ PHI,04/10/2022,L,12.0,30,12,25,0.48,4,11,0.364,2,6,0.333,5,9,14,7,3.0,0,0,5,4.0
HOU-ATL-04/10/2022,HOU,HOU vs. ATL,04/10/2022,L,12.0,35,12,26,0.462,7,18,0.389,4,5,0.8,3,6,9,7,1.0,2,0,5,-3.0,ATL,ATL @ HOU,04/10/2022,W,12.0,38,14,22,0.636,6,10,0.6,4,5,0.8,2,10,12,8,2.0,1,0,3,3.0
DEN-LAL-04/10/2022,DEN,DEN vs. LAL,04/10/2022,L,12.0,36,10,20,0.5,2,9,0.222,14,15,0.933,4,11,15,8,4.0,1,1,7,3.0,LAL,LAL @ DEN,04/10/2022,W,12.0,33,9,21,0.429,4,13,0.308,11,13,0.846,1,6,7,7,1.0,2,1,8,-3.0
DAL-SAS-04/10/2022,DAL,DAL vs. SAS,04/10/2022,W,12.0,31,10,26,0.385,5,9,0.556,6,8,0.75,3,7,10,6,1.0,3,0,6,1.0,SAS,SAS @ DAL,04/10/2022,L,12.0,30,9,20,0.45,2,8,0.25,10,10,1.0,4,12,16,5,4.0,1,2,6,-1.0
CHA-WAS-04/10/2022,CHA,CHA vs. WAS,04/10/2022,W,12.0,24,11,19,0.579,2,5,0.4,0,2,0.0,3,11,14,8,9.0,2,0,6,-1.0,WAS,WAS @ CHA,04/10/2022,L,12.0,25,9,20,0.45,2,5,0.4,5,9,0.556,1,5,6,8,3.0,4,0,3,1.0
