KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
SAS-TOR-04/13/2025,SAS,SAS vs. TOR,04/13/2025,W,12,39,16,25.0,64.0,5,7.0,71.4,2,2.0,100.0,3,12,15,8,1,4,1,3,18.0,TOR,TOR @ SAS,04/13/2025,L,12.0,21.0,8.0,24.0,33.3,2.0,11.0,18.2,3.0,5.0,60.0,5.0,6.0,11.0,5.0,5.0,0.0,0.0,4.0,-18.0
PHI-CHI-04/13/2025,PHI,PHI vs. CHI,04/13/2025,L,12,19,7,24.0,29.2,1,11.0,9.1,4,4.0,100.0,2,12,14,2,5,1,2,5,-18.0,CHI,CHI @ PHI,04/13/2025,W,12.0,37.0,14.0,26.0,53.8,4.0,11.0,36.4,5.0,8.0,62.5,1.0,14.0,15.0,9.0,1.0,4.0,1.0,2.0,18.0
HOU-DEN-04/13/2025,HOU,HOU vs. DEN,04/13/2025,L,12,19,8,24.0,33.3,2,9.0,22.2,1,3.0,33.3,5,6,11,3,4,1,1,5,-18.0,DEN,DEN @ HOU,04/13/2025,W,12.0,37.0,15.0,24.0,62.5,3.0,7.0,42.9,4.0,4.0,100.0,3.0,12.0,15.0,11.0,2.0,2.0,3.0,3.0,18.0
MEM-DAL-04/13/2025,MEM,MEM vs. DAL,04/13/2025,W,12,37,15,26.0,57.7,4,11.0,36.4,3,3.0,100.0,6,8,14,10,2,3,0,6,16.0,DAL,DAL @ MEM,04/13/2025,L,12.0,21.0,5.0,17.0,29.4,1.0,9.0,11.1,10.0,13.0,76.9,3.0,5.0,8.0,4.0,4.0,2.0,0.0,2.0,-16.0
POR-LAL-04/13/2025,POR,POR vs. LAL,04/13/2025,W,12,31,12,27.0,44.4,4,10.0,40.0,3,4.0,75.0,7,9,16,9,4,2,3,4,13.0,LAL,LAL @ POR,04/13/2025,L,12.0,18.0,7.0,23.0,30.4,1.0,6.0,16.7,3.0,4.0,75.0,4.0,9.0,13.0,3.0,7.0,3.0,4.0,4.0,-13.0
MIN-UTA-04/13/2025,MIN,MIN vs. UTA,04/13/2025,W,12,40,17,24.0,70.8,4,8.0,50.0,2,2.0,100.0,3,9,12,7,3,0,2,6,12.0,UTA,UTA @ MIN,04/13/2025,L,12.0,28.0,10.0,19.0,52.6,3.0,7.0,42.9,5.0,6.0,83.3,1.0,2.0,3.0,4.0,2.0,0.0,0.0,4.0,-12.0
MIL-DET-04/13/2025,MIL,MIL vs. DET,04/13/2025,W,12,27,11,19.0,57.9,5,9.0,55.6,0,0.0,0.0,1,3,4,8,5,0,2,2,-10.0,DET,DET @ MIL,04/13/2025,L,12.0,37.0,15.0,22.0,68.2,7.0,12.0,58.3,0.0,1.0,0.0,3.0,5.0,8.0,11.0,4.0,2.0,1.0,4.0,10.0
BKN-NYK-04/13/2025,BKN,BKN vs. NYK,04/13/2025,L,12,17,5,19.0,26.3,3,12.0,25.0,4,4.0,100.0,2,11,13,5,6,1,0,8,-10.0,NYK,NYK @ BKN,04/13/2025,W,12.0,27.0,8.0,23.0,34.8,4.0,13.0,30.8,7.0,7.0,100.0,3.0,11.0,14.0,7.0,3.0,1.0,1.0,7.0,10.0
BOS-CHA-04/13/2025,BOS,BOS vs. CHA,04/13/2025,W,12,15,4,21.0,19.0,1,13.0,7.7,6,9.0,66.7,3,11,14,3,2,2,1,5,-10.0,CHA,CHA @ BOS,04/13/2025,L,12.0,25.0,8.0,19.0,42.1,5.0,10.0,50.0,4.0,8.0,50.0,2.0,12.0,14.0,7.0,2.0,0.0,1.0,7.0,10.0
SAC-PHX-04/13/2025,SAC,SAC vs. PHX,04/13/2025,W,12,29,13,25.0,52.0,3,9.0,33.3,0,0.0,0.0,2,10,12,8,1,3,0,0,8.0,PHX,PHX @ SAC,04/13/2025,L,12.0,21.0,8.0,21.0,38.1,5.0,15.0,33.3,0.0,0.0,0.0,2.0,8.0,10.0,8.0,5.0,1.0,1.0,3.0,-8.0
ATL-ORL-04/13/2025,ATL,ATL vs. ORL,04/13/2025,W,12,34,15,27.0,55.6,3,8.0,37.5,1,1.0,100.0,4,9,13,9,3,1,1,5,-4.0,ORL,ORL @ ATL,04/13/2025,L,12.0,38.0,14.0,27.0,51.9,5.0,11.0,45.5,5.0,7.0,71.4,5.0,8.0,13.0,9.0,1.0,2.0,2.0,0.0,4.0
NOP-OKC-04/13/2025,NOP,NOP vs. OKC,04/13/2025,L,12,23,8,21.0,38.1,3,12.0,25.0,4,5.0,80.0,4,9,13,5,5,1,1,5,-3.0,OKC,OKC @ NOP,04/13/2025,W,12.0,26.0,10.0,25.0,40.0,3.0,14.0,21.4,3.0,5.0,60.0,5.0,6.0,11.0,5.0,2.0,1.0,0.0,6.0,3.0
MIA-WAS-04/13/2025,MIA,MIA vs. WAS,04/13/2025,L,12,26,11,23.0,47.8,3,10.0,30.0,1,2.0,50.0,1,9,10,6,2,1,0,1,-2.0,WAS,WAS @ MIA,04/13/2025,W,12.0,28.0,13.0,22.0,59.1,2.0,6.0,33.3,0.0,0.0,0.0,0.0,11.0,11.0,8.0,2.0,2.0,0.0,3.0,2.0
GSW-LAC-04/13/2025,GSW,GSW vs. LAC,04/13/2025,L,12,24,10,17.0,58.8,2,4.0,50.0,2,4.0,50.0,0,5,5,9,3,3,1,5,1.0,LAC,LAC @ GSW,04/13/2025,W,12.0,23.0,10.0,19.0,52.6,2.0,7.0,28.6,1.0,2.0,50.0,5.0,7.0,12.0,3.0,6.0,2.0,0.0,6.0,-1.0
CLE-IND-04/13/2025,CLE,CLE vs. IND,04/13/2025,L,12,24,8,22.0,36.4,4,14.0,28.6,4,9.0,44.4,5,9,14,3,3,1,2,6,1.0,IND,IND @ CLE,04/13/2025,W,12.0,23.0,8.0,21.0,38.1,1.0,7.0,14.3,6.0,8.0,75.0,2.0,9.0,11.0,3.0,1.0,2.0,1.0,6.0,-1.0
PHX-SAS-04/11/2025,PHX,PHX vs. SAS,04/11/2025,W,12,39,15,23.0,65.2,5,9.0,55.6,4,5.0,80.0,2,11,13,11,2,3,3,2,22.0,SAS,SAS @ PHX,04/11/2025,L,12.0,17.0,7.0,23.0,30.4,1.0,8.0,12.5,2.0,2.0,100.0,3.0,7.0,10.0,5.0,6.0,2.0,0.0,4.0,-22.0
NOP-MIA-04/11/2025,NOP,NOP vs. MIA,04/11/2025,L,12,18,7,21.0,33.3,1,7.0,14.3,3,4.0,75.0,2,4,6,4,5,3,0,4,-21.0,MIA,MIA @ NOP,04/11/2025,W,12.0,39.0,16.0,26.0,61.5,6.0,13.0,46.2,1.0,2.0,50.0,5.0,12.0,17.0,9.0,4.0,4.0,1.0,2.0,21.0
BOS-CHA-04/11/2025,BOS,BOS vs. CHA,04/11/2025,W,12,37,14,23.0,60.9,7,11.0,63.6,2,3.0,66.7,2,10,12,9,3,1,2,3,15.0,CHA,CHA @ BOS,04/11/2025,L,12.0,22.0,9.0,25.0,36.0,4.0,10.0,40.0,0.0,0.0,0.0,5.0,7.0,12.0,5.0,4.0,2.0,0.0,4.0,-15.0
CHI-WAS-04/11/2025,CHI,CHI vs. WAS,04/11/2025,W,12,38,14,25.0,56.0,4,9.0,44.4,6,6.0,100.0,3,12,15,11,3,4,3,7,13.0,WAS,WAS @ CHI,04/11/2025,L,12.0,25.0,8.0,22.0,36.4,4.0,12.0,33.3,5.0,7.0,71.4,2.0,6.0,8.0,7.0,4.0,1.0,2.0,3.0,-13.0
MIN-BKN-04/11/2025,MIN,MIN vs. BKN,04/11/2025,W,12,34,12,16.0,75.0,4,8.0,50.0,6,10.0,60.0,0,9,9,10,3,1,1,4,13.0,BKN,BKN @ MIN,04/11/2025,L,12.0,21.0,8.0,19.0,42.1,1.0,4.0,25.0,4.0,5.0,80.0,1.0,6.0,7.0,6.0,2.0,2.0,1.0,8.0,-13.0
PHI-ATL-04/11/2025,PHI,PHI vs. ATL,04/11/2025,L,12,19,7,23.0,30.4,0,11.0,0.0,5,5.0,100.0,2,9,11,7,5,2,2,5,-12.0,ATL,ATL @ PHI,04/11/2025,W,12.0,31.0,11.0,27.0,40.7,4.0,12.0,33.3,5.0,7.0,71.4,6.0,12.0,18.0,7.0,3.0,2.0,1.0,4.0,12.0
IND-ORL-04/11/2025,IND,IND vs. ORL,04/11/2025,L,12,27,7,25.0,28.0,4,11.0,36.4,9,11.0,81.8,5,6,11,3,4,1,2,7,-10.0,ORL,ORL @ IND,04/11/2025,W,12.0,37.0,13.0,21.0,61.9,3.0,5.0,60.0,8.0,9.0,88.9,2.0,11.0,13.0,9.0,5.0,3.0,2.0,9.0,10.0
POR-GSW-04/11/2025,POR,POR vs. GSW,04/11/2025,L,12,20,6,17.0,35.3,2,4.0,50.0,6,8.0,75.0,2,10,12,5,8,1,2,6,-7.0,GSW,GSW @ POR,04/11/2025,W,12.0,27.0,10.0,22.0,45.5,2.0,10.0,20.0,5.0,6.0,83.3,1.0,8.0,9.0,8.0,3.0,6.0,2.0,7.0,7.0
UTA-OKC-04/11/2025,UTA,UTA vs. OKC,04/11/2025,L,12,28,9,25.0,36.0,3,14.0,21.4,7,8.0,87.5,6,8,14,4,4,1,1,5,-6.0,OKC,OKC @ UTA,04/11/2025,W,12.0,34.0,13.0,24.0,54.2,5.0,11.0,45.5,3.0,3.0,100.0,1.0,10.0,11.0,10.0,3.0,2.0,1.0,5.0,6.0
NYK-CLE-04/11/2025,NYK,NYK vs. CLE,04/11/2025,L,12,24,6,18.0,33.3,2,11.0,18.2,10,12.0,83.3,1,6,7,3,3,3,0,5,-4.0,CLE,CLE @ NYK,04/11/2025,W,12.0,28.0,11.0,22.0,50.0,1.0,4.0,25.0,5.0,8.0,62.5,6.0,8.0,14.0,7.0,4.0,2.0,0.0,7.0,4.0
