KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
CLE-MIL-04/10/2022,CLE,CLE vs. MIL,04/10/2022,W,12,46,15,25,60.0,10,15,66.7,6,9,66.7,4,12,16,11,0,2,1,5,26,MIL,MIL @ CLE,04/10/2022,L,12,20,8,23,34.8,1,6,16.7,3,4,75.0,1,6,7,7,2,0,1,5,-26
LAC-OKC-04/10/2022,LAC,LAC vs. OKC,04/10/2022,W,12,39,15,24,62.5,7,11,63.6,2,2,100.0,3,13,16,9,3,1,4,3,21,OKC,OKC @ LAC,04/10/2022,L,12,18,7,22,31.8,2,6,33.3,2,4,50.0,2,6,8,4,2,1,0,2,-21
BKN-IND-04/10/2022,BKN,BKN vs. IND,04/10/2022,W,12,41,18,24,75.0,1,3,33.3,4,5,80.0,3,13,16,11,5,1,2,3,12,IND,IND @ BKN,04/10/2022,L,12,29,12,28,42.9,3,10,30.0,2,3,66.7,1,4,5,7,2,4,0,4,-12
MIN-CHI-04/10/2022,MIN,MIN vs. CHI,04/10/2022,L,12,21,8,23,34.8,2,9,22.2,3,4,75.0,2,4,6,4,2,3,4,5,-12,CHI,CHI @ MIN,04/10/2022,W,12,33,12,23,52.2,2,5,40.0,7,8,87.5,7,12,19,4,4,0,0,2,12
HOU-ATL-04/10/2022,HOU,HOU vs. ATL,04/10/2022,L,12,24,9,21,42.9,3,9,33.3,3,6,50.0,2,5,7,5,1,1,2,3,-11,ATL,ATL @ HOU,04/10/2022,W,12,35,14,23,60.9,5,8,62.5,2,3,66.7,3,11,14,11,3,0,1,5,11
PHX-SAC-04/10/2022,PHX,PHX vs. SAC,04/10/2022,L,12,24,11,26,42.3,2,10,20.0,0,2,0.0,5,8,13,5,2,1,1,3,-9,SAC,SAC @ PHX,04/10/2022,W,12,33,12,22,54.5,6,10,60.0,3,4,75.0,0,10,10,10,1,2,1,2,9
NYK-TOR-04/10/2022,NYK,NYK vs. TOR,04/10/2022,W,12,31,11,24,45.8,5,10,50.0,4,4,100.0,3,11,14,9,3,2,2,4,9,TOR,TOR @ NYK,04/10/2022,L,12,22,9,24,37.5,4,9,44.4,0,0,0.0,3,8,11,6,2,2,1,3,-9
MEM-BOS-04/10/2022,MEM,MEM vs. BOS,04/10/2022,L,12,25,9,28,32.1,4,13,30.8,3,5,60.0,6,6,12,8,1,5,0,5,-7,BOS,BOS @ MEM,04/10/2022,W,12,32,13,22,59.1,4,11,36.4,2,2,100.0,3,13,16,7,5,0,1,4,7
PHI-DET-04/10/2022,PHI,PHI vs. DET,04/10/2022,W,12,36,13,21,61.9,1,4,25.0,9,9,100.0,3,6,9,6,2,5,3,5,6,DET,DET @ PHI,04/10/2022,L,12,30,11,21,52.4,4,8,50.0,4,5,80.0,2,4,6,7,5,2,0,5,-6
DEN-LAL-04/10/2022,DEN,DEN vs. LAL,04/10/2022,L,12,33,13,23,56.5,6,13,46.2,1,2,50.0,2,4,6,9,3,3,0,7,-3,LAL,LAL @ DEN,04/10/2022,W,12,36,13,23,56.5,1,7,14.3,9,11,81.8,7,7,14,4,3,0,2,1,3
CHA-WAS-04/10/2022,CHA,CHA vs. WAS,04/10/2022,W,12,32,13,28,46.4,3,8,37.5,3,5,60.0,5,9,14,12,3,0,0,3,3,WAS,WAS @ CHA,04/10/2022,L,12,29,13,24,54.2,2,9,22.2,1,4,25.0,3,9,12,5,1,3,2,6,-3
