TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
PHI,PHI @ BKN,04/09/2023,W,12,34,13,23,56.5,3,7,42.9,5,7,71.4,3,13,16,8,3,2,1,4,21
CHI,CHI vs. DET,04/09/2023,W,12,36,12,23,52.2,3,11,27.3,9,11,81.8,1,9,10,5,1,6,2,5,19
CHA,CHA @ CLE,04/09/2023,W,12,36,12,15,80.0,4,4,100.0,8,10,80.0,1,11,12,7,7,3,1,2,16
MIA,MIA vs. ORL,04/09/2023,W,12,39,12,17,70.6,7,12,58.3,8,9,88.9,2,12,14,8,9,5,1,8,14
IND,IND @ NYK,04/09/2023,W,12,41,13,25,52.0,5,9,55.6,10,11,90.9,3,12,15,9,3,3,5,7,12
DEN,DEN vs. SAC,04/09/2023,W,12,26,11,22,50.0,4,12,33.3,0,0,0.0,4,14,18,8,7,1,0,4,12
GSW,GSW @ POR,04/09/2023,W,12,39,15,25,60.0,6,11,54.5,3,4,75.0,4,10,14,12,3,2,1,8,11
LAC,LAC @ PHX,04/09/2023,W,12,37,16,29,55.2,0,2,0.0,5,5,100.0,8,8,16,7,1,1,1,6,9
MIN,MIN vs. NOP,04/09/2023,W,12,30,8,20,40.0,3,8,37.5,11,14,78.6,3,11,14,5,4,2,1,7,7
LAL,LAL vs. UTA,04/09/2023,W,12,29,11,23,47.8,6,14,42.9,1,2,50.0,2,9,11,5,2,0,1,0,7
SAS,SAS @ DAL,04/09/2023,W,12,30,11,20,55.0,3,10,30.0,5,7,71.4,1,16,17,7,7,0,0,6,4
ATL,ATL @ BOS,04/09/2023,L,12,24,10,26,38.5,1,11,9.1,3,5,60.0,8,11,19,4,4,2,1,3,4
OKC,OKC vs. MEM,04/09/2023,W,12,30,12,22,54.5,2,8,25.0,4,5,80.0,1,11,12,9,4,1,1,6,3
HOU,HOU @ WAS,04/09/2023,W,12,27,10,22,45.5,1,3,33.3,6,10,60.0,6,10,16,3,4,3,2,4,3
MIL,MIL @ TOR,04/09/2023,L,12,26,9,16,56.3,3,7,42.9,5,8,62.5,2,11,13,6,6,1,1,3,0
TOR,TOR vs. MIL,04/09/2023,W,12,26,10,26,38.5,2,11,18.2,4,5,80.0,3,6,9,6,1,2,1,6,0
MEM,MEM @ OKC,04/09/2023,L,12,27,11,23,47.8,0,6,0.0,5,8,62.5,3,8,11,9,2,1,0,4,-3
WAS,WAS vs. HOU,04/09/2023,L,12,24,8,20,40.0,2,10,20.0,6,6,100.0,2,9,11,7,4,3,2,6,-3
DAL,DAL vs. SAS,04/09/2023,L,12,26,10,27,37.0,3,15,20.0,3,6,50.0,2,6,8,6,0,2,0,5,-4
BOS,BOS vs. ATL,04/09/2023,W,12,20,7,20,35.0,4,11,36.4,2,3,66.7,2,8,10,6,3,3,2,2,-4
NOP,NOP @ MIN,04/09/2023,L,12,23,7,20,35.0,0,7,0.0,9,11,81.8,1,11,12,4,4,3,0,11,-7
UTA,UTA @ LAL,04/09/2023,L,12,22,10,24,41.7,2,10,20.0,0,0,0.0,3,10,13,4,2,0,0,4,-7
PHX,PHX vs. LAC,04/09/2023,L,12,28,11,22,50.0,1,5,20.0,5,9,55.6,2,4,6,5,1,1,1,4,-9
POR,POR vs. GSW,04/09/2023,L,12,28,9,20,45.0,3,8,37.5,7,10,70.0,1,4,5,8,2,0,1,2,-11
NYK,NYK vs. IND,04/09/2023,L,12,29,10,28,35.7,6,12,50.0,3,3,100.0,5,8,13,6,4,1,3,7,-12
SAC,SAC @ DEN,04/09/2023,L,12,14,5,20,25.0,1,10,10.0,3,4,75.0,1,5,6,3,3,2,1,1,-12
ORL,ORL @ MIA,04/09/2023,L,12,25,8,24,33.3,3,9,33.3,6,9,66.7,4,3,7,7,5,7,0,7,-14
CLE,CLE vs. CHA,04/09/2023,L,12,20,8,22,36.4,1,10,10.0,3,3,100.0,2,4,6,5,3,4,0,6,-16
DET,DET @ CHI,04/09/2023,L,12,17,6,18,33.3,0,6,0.0,5,5,100.0,3,10,13,6,9,0,2,6,-19
BKN,BKN vs. PHI,04/09/2023,L,12,13,5,22,22.7,0,8,0.0,3,4,75.0,4,7,11,4,5,1,1,8,-21
UTA,UTA vs. DEN,04/08/2023,W,12,29,11,26,42.3,2,6,33.3,5,6,83.3,5,11,16,8,1,1,1,7,10
SAS,SAS vs. MIN,04/08/2023,L,12,40,16,25,64.0,4,7,57.1,4,4,100.0,3,9,12,9,3,3,3,3,8
POR,POR @ LAC,04/08/2023,L,12,29,12,24,50.0,4,11,36.4,1,3,33.3,2,9,11,9,3,3,0,5,2
LAC,LAC vs. POR,04/08/2023,W,12,27,10,20,50.0,0,7,0.0,7,9,77.8,2,10,12,2,4,3,0,5,-2
MIN,MIN @ SAS,04/08/2023,W,12,32,12,27,44.4,5,13,38.5,3,4,75.0,6,6,12,10,3,1,1,4,-8
DEN,DEN @ UTA,04/08/2023,L,12,19,6,18,33.3,0,8,0.0,7,11,63.6,1,9,10,4,3,1,4,6,-10
MIA,MIA @ WAS,04/07/2023,L,12,37,13,28,46.4,7,16,43.8,4,6,66.7,6,10,16,6,5,4,2,10,12
CHA,CHA vs. HOU,04/07/2023,L,12,36,11,23,47.8,8,16,50.0,6,7,85.7,1,9,10,7,0,1,4,6,9
GSW,GSW @ SAC,04/07/2023,W,12,33,12,21,57.1,3,8,37.5,6,8,75.0,2,7,9,11,6,0,1,7,9
CHI,CHI @ DAL,04/07/2023,W,12,30,13,22,59.1,3,7,42.9,1,5,20.0,3,11,14,7,2,1,2,2,9
NOP,NOP vs. NYK,04/07/2023,W,12,30,10,16,62.5,3,4,75.0,7,7,100.0,0,11,11,9,4,1,2,6,8
LAL,LAL vs. PHX,04/07/2023,W,12,25,9,20,45.0,4,10,40.0,3,5,60.0,3,13,16,4,5,1,1,4,7
PHI,PHI @ ATL,04/07/2023,W,12,33,11,21,52.4,2,3,66.7,9,11,81.8,4,8,12,4,6,2,0,4,4
TOR,TOR @ BOS,04/07/2023,L,12,29,12,22,54.5,2,7,28.6,3,4,75.0,2,8,10,4,3,2,1,2,3
MEM,MEM @ MIL,04/07/2023,W,12,29,11,23,47.8,6,14,42.9,1,2,50.0,5,5,10,8,3,3,1,7,2
IND,IND vs. DET,04/07/2023,L,12,28,10,22,45.5,4,9,44.4,4,4,100.0,2,11,13,9,2,1,2,4,2
BKN,BKN vs. ORL,04/07/2023,W,12,23,8,19,42.1,1,8,12.5,6,7,85.7,2,7,9,7,2,1,1,4,1
ORL,ORL @ BKN,04/07/2023,L,12,22,7,21,33.3,3,9,33.3,5,6,83.3,3,8,11,2,3,1,3,5,-1
MIL,MIL vs. MEM,04/07/2023,L,12,27,11,20,55.0,3,9,33.3,2,2,100.0,2,4,6,8,5,0,0,2,-2
DET,DET @ IND,04/07/2023,W,12,26,9,23,39.1,4,5,80.0,4,5,80.0,2,7,9,5,1,1,2,4,-2
BOS,BOS vs. TOR,04/07/2023,W,12,26,11,22,50.0,3,9,33.3,1,2,50.0,4,8,12,9,4,1,0,4,-3
ATL,ATL vs. PHI,04/07/2023,L,12,29,12,20,60.0,4,8,50.0,1,3,33.3,1,4,5,7,6,2,0,7,-4
PHX,PHX @ LAL,04/07/2023,L,12,18,8,24,33.3,1,12,8.3,1,3,33.3,4,6,10,5,3,1,1,3,-7
NYK,NYK @ NOP,04/07/2023,L,12,22,8,20,40.0,2,7,28.6,4,6,66.7,0,6,6,3,2,2,0,5,-8
HOU,HOU @ CHA,04/07/2023,W,12,27,10,20,50.0,1,4,25.0,6,9,66.7,3,6,9,4,2,0,3,6,-9
SAC,SAC vs. GSW,04/07/2023,L,12,24,10,23,43.5,1,7,14.3,3,6,50.0,5,4,9,4,4,3,0,4,-9
DAL,DAL vs. CHI,04/07/2023,L,12,21,9,26,34.6,3,15,20.0,0,0,0.0,3,8,11,4,2,2,0,4,-9
WAS,WAS vs. MIA,04/07/2023,W,12,25,7,20,35.0,1,6,16.7,10,16,62.5,5,8,13,4,9,3,1,7,-12
MIA,MIA @ PHI,04/06/2023,W,12,33,14,21,66.7,3,6,50.0,2,2,100.0,3,9,12,11,7,1,0,5,10
OKC,OKC @ UTA,04/06/2023,W,12,30,10,22,45.5,4,10,40.0,6,6,100.0,3,8,11,8,3,3,1,6,8
SAS,SAS vs. POR,04/06/2023,W,12,31,11,24,45.8,3,6,50.0,6,6,100.0,4,11,15,7,3,0,2,3,4
CLE,CLE @ ORL,04/06/2023,W,12,23,8,16,50.0,3,7,42.9,4,4,100.0,2,7,9,6,7,4,3,7,2
PHX,PHX vs. DEN,04/06/2023,W,12,30,10,18,55.6,4,9,44.4,6,6,100.0,2,6,8,5,2,0,2,5,1
DEN,DEN @ PHX,04/06/2023,L,12,29,10,21,47.6,2,6,33.3,7,7,100.0,2,6,8,3,2,0,1,5,-1
ORL,ORL vs. CLE,04/06/2023,L,12,21,6,19,31.6,4,11,36.4,5,8,62.5,2,6,8,3,4,3,2,3,-2
POR,POR @ SAS,04/06/2023,L,12,27,11,27,40.7,3,9,33.3,2,4,50.0,3,6,9,8,2,2,4,6,-4
UTA,UTA vs. OKC,04/06/2023,L,12,22,8,17,47.1,2,8,25.0,4,8,50.0,1,9,10,4,4,2,0,4,-8
PHI,PHI vs. MIA,04/06/2023,L,12,23,7,18,38.9,2,11,18.2,7,7,100.0,0,4,4,4,6,4,0,6,-10
MIL,MIL vs. CHI,04/05/2023,W,12,26,9,21,42.9,3,9,33.3,5,6,83.3,4,11,15,6,1,1,1,4,10
BKN,BKN @ DET,04/05/2023,W,12,27,10,21,47.6,3,8,37.5,4,4,100.0,2,9,11,8,2,1,2,4,9
NOP,NOP vs. MEM,04/05/2023,W,12,39,9,15,60.0,7,9,77.8,14,16,87.5,0,6,6,8,3,3,4,8,5
LAL,LAL @ LAC,04/05/2023,L,12,36,14,26,53.8,3,9,33.3,5,6,83.3,4,9,13,9,2,0,3,6,4
DAL,DAL vs. SAC,04/05/2023,W,12,31,11,23,47.8,7,12,58.3,2,2,100.0,1,5,6,6,1,2,1,3,4
TOR,TOR @ BOS,04/05/2023,L,12,21,9,24,37.5,2,9,22.2,1,3,33.3,4,10,14,4,2,3,1,6,3
NYK,NYK @ IND,04/05/2023,W,12,33,11,23,47.8,3,11,27.3,8,13,61.5,7,7,14,6,4,4,4,5,2
ATL,ATL vs. WAS,04/05/2023,W,12,28,8,20,40.0,3,8,37.5,9,11,81.8,4,8,12,6,6,2,1,7,2
IND,IND vs. NYK,04/05/2023,L,12,31,12,22,54.5,3,6,50.0,4,5,80.0,4,6,10,7,6,2,2,7,-2
WAS,WAS @ ATL,04/05/2023,L,12,26,11,22,50.0,0,4,0.0,4,6,66.7,3,8,11,6,4,4,3,7,-2
BOS,BOS vs. TOR,04/05/2023,W,12,18,6,18,33.3,2,8,25.0,4,6,66.7,1,10,11,2,6,0,2,4,-3
LAC,LAC vs. LAL,04/05/2023,W,12,32,10,22,45.5,4,8,50.0,8,10,80.0,3,6,9,7,0,2,1,4,-4
SAC,SAC @ DAL,04/05/2023,L,12,27,10,22,45.5,4,9,44.4,3,3,100.0,4,11,15,8,5,1,0,5,-4
MEM,MEM @ NOP,04/05/2023,L,12,34,12,26,46.2,2,5,40.0,8,11,72.7,9,8,17,9,5,2,0,8,-5
DET,DET vs. BKN,04/05/2023,L,12,18,6,20,30.0,1,7,14.3,5,6,83.3,3,5,8,4,2,1,1,3,-9
CHI,CHI @ MIL,04/05/2023,L,12,16,6,21,28.6,1,7,14.3,3,4,75.0,2,6,8,2,2,0,0,4,-10
HOU,HOU vs. DEN,04/04/2023,W,12,38,15,26,57.7,3,6,50.0,5,7,71.4,6,9,15,9,2,5,1,2,20
GSW,GSW vs. OKC,04/04/2023,W,12,34,11,19,57.9,4,10,40.0,8,13,61.5,4,11,15,7,4,3,1,4,15
