KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
OKC-MEM-04/09/2023,OKC,OKC vs. MEM,04/09/2023,W,12,38,14,24,58.3,5,8,62.5,5,6,83.3,2,8,10,10,0,2,0,2,14,MEM,MEM @ OKC,04/09/2023,L,12,24,11,21,52.4,0,7,0.0,2,2,100.0,2,8,10,4,4,0,1,5,-14
POR-GSW-04/09/2023,POR,POR vs. GSW,04/09/2023,L,12,20,8,23,34.8,1,7,14.3,3,6,50.0,1,7,8,6,6,4,2,3,-14,GSW,GSW @ POR,04/09/2023,W,12,34,12,19,63.2,6,9,66.7,4,5,80.0,0,15,15,10,8,6,4,4,14
WAS-HOU-04/09/2023,WAS,WAS vs. HOU,04/09/2023,L,12,18,7,23,30.4,2,9,22.2,2,6,33.3,3,8,11,6,5,3,1,7,-14,HOU,HOU @ WAS,04/09/2023,W,12,32,13,22,59.1,0,3,0.0,6,9,66.7,2,13,15,9,4,3,1,4,14
BOS-ATL-04/09/2023,BOS,BOS vs. ATL,04/09/2023,W,12,39,15,24,62.5,8,13,61.5,1,1,100.0,4,11,15,11,4,0,0,3,13,ATL,ATL @ BOS,04/09/2023,L,12,26,9,22,40.9,5,13,38.5,3,4,75.0,2,4,6,8,0,3,2,1,-13
DEN-SAC-04/09/2023,DEN,DEN vs. SAC,04/09/2023,W,12,24,10,20,50.0,0,5,0.0,4,8,50.0,4,12,16,5,6,4,0,5,10,SAC,SAC @ DEN,04/09/2023,L,12,14,5,17,29.4,1,12,8.3,3,6,50.0,1,6,7,4,4,3,0,6,-10
NYK-IND-04/09/2023,NYK,NYK vs. IND,04/09/2023,L,12,36,13,27,48.1,5,14,35.7,5,8,62.5,6,8,14,8,2,4,3,4,9,IND,IND @ NYK,04/09/2023,W,12,27,10,20,50.0,4,6,66.7,3,5,60.0,0,10,10,8,5,1,2,6,-9
MIN-NOP-04/09/2023,MIN,MIN vs. NOP,04/09/2023,W,12,36,14,20,70.0,5,8,62.5,3,6,50.0,2,8,10,7,4,1,5,8,6,NOP,NOP @ MIN,04/09/2023,L,12,30,10,21,47.6,1,3,33.3,9,11,81.8,3,6,9,3,2,3,1,4,-6
LAL-UTA-04/09/2023,LAL,LAL vs. UTA,04/09/2023,W,12,34,12,24,50.0,3,9,33.3,7,9,77.8,2,9,11,9,2,1,2,6,-5,UTA,UTA @ LAL,04/09/2023,L,12,39,16,26,61.5,2,7,28.6,5,6,83.3,2,9,11,9,1,1,2,5,5
DAL-SAS-04/09/2023,DAL,DAL vs. SAS,04/09/2023,L,12,32,12,23,52.2,6,15,40.0,2,4,50.0,1,9,10,10,2,0,0,5,-5,SAS,SAS @ DAL,04/09/2023,W,12,37,14,28,50.0,3,6,50.0,6,9,66.7,6,11,17,9,1,1,0,3,5
TOR-MIL-04/09/2023,TOR,TOR vs. MIL,04/09/2023,W,12,28,12,22,54.5,4,11,36.4,0,0,0.0,1,14,15,9,6,1,0,8,4,MIL,MIL @ TOR,04/09/2023,L,12,24,8,22,36.4,2,9,22.2,6,7,85.7,1,3,4,7,1,2,0,1,-4
