TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
NOP,NOP vs. LAL,04/14/2024,L,12,24,10,20,50.0,4,11,36.4,0,0,0.0,0,8,8,7,4,2,0,4,-6
DET,DET @ SAS,04/14/2024,L,12,23,10,25,40.0,1,5,20.0,2,3,66.7,3,9,12,6,5,2,2,2,-6
ORL,ORL vs. MIL,04/14/2024,W,12,22,9,22,40.9,2,8,25.0,2,3,66.7,2,9,11,7,3,1,1,4,-8
CHA,CHA @ CLE,04/14/2024,W,12,24,9,26,34.6,5,14,35.7,1,1,100.0,3,10,13,9,2,1,3,1,-9
POR,POR @ SAC,04/14/2024,L,12,18,6,28,21.4,1,19,5.3,5,5,100.0,9,8,17,4,6,5,0,5,-12
ATL,ATL @ IND,04/14/2024,L,12,34,11,22,50.0,4,10,40.0,8,8,100.0,1,2,3,7,3,2,2,3,-15
DAL,DAL @ OKC,04/14/2024,L,12,22,7,19,36.8,3,7,42.9,5,7,71.4,0,7,7,5,7,1,0,3,-17
MIN,MIN vs. PHX,04/14/2024,L,12,22,9,16,56.3,3,7,42.9,1,1,100.0,3,6,9,5,11,1,0,4,-22
BKN,BKN @ NYK,04/12/2024,L,12,30,13,22,59.1,3,7,42.9,1,2,50.0,4,9,13,6,1,0,0,4,16
PHI,PHI vs. ORL,04/12/2024,W,12,40,13,24,54.2,7,13,53.8,7,8,87.5,1,12,13,7,2,1,0,6,13
LAC,LAC vs. UTA,04/12/2024,L,12,38,15,25,60.0,4,9,44.4,4,5,80.0,5,6,11,8,3,2,2,2,11
MIA,MIA vs. TOR,04/12/2024,W,12,33,12,20,60.0,4,9,44.4,5,6,83.3,2,9,11,10,1,0,0,5,11
CLE,CLE vs. IND,04/12/2024,W,12,35,15,25,60.0,3,6,50.0,2,5,40.0,3,8,11,7,2,2,1,3,9
GSW,GSW vs. NOP,04/12/2024,L,12,26,9,24,37.5,2,8,25.0,6,6,100.0,3,16,19,5,2,3,0,3,9
LAL,LAL @ MEM,04/12/2024,W,12,34,13,23,56.5,4,11,36.4,4,5,80.0,1,12,13,7,5,1,1,3,8
OKC,OKC vs. MIL,04/12/2024,W,12,41,14,25,56.0,3,10,30.0,10,10,100.0,4,8,12,7,0,3,2,2,7
WAS,WAS vs. CHI,04/12/2024,L,12,40,13,24,54.2,7,14,50.0,7,9,77.8,0,11,11,10,1,2,2,4,7
BOS,BOS vs. CHA,04/12/2024,W,12,30,14,28,50.0,2,9,22.2,0,0,0.0,5,10,15,6,1,2,0,4,6
DET,DET @ DAL,04/12/2024,W,12,27,12,26,46.2,3,9,33.3,0,0,0.0,2,11,13,7,2,4,2,2,6
SAC,SAC vs. PHX,04/12/2024,L,12,27,10,23,43.5,3,10,30.0,4,4,100.0,2,7,9,5,2,6,0,4,5
ATL,ATL @ MIN,04/12/2024,L,12,27,11,23,47.8,0,6,0.0,5,8,62.5,1,7,8,6,2,1,0,7,2
SAS,SAS vs. DEN,04/12/2024,W,12,32,13,22,59.1,4,11,36.4,2,5,40.0,2,8,10,8,4,1,0,2,1
POR,POR vs. HOU,04/12/2024,L,12,24,9,20,45.0,4,8,50.0,2,4,50.0,1,7,8,7,2,2,2,1,1
DEN,DEN @ SAS,04/12/2024,L,12,31,13,26,50.0,4,12,33.3,1,1,100.0,3,8,11,7,3,1,0,3,-1
HOU,HOU @ POR,04/12/2024,W,12,23,10,22,45.5,2,7,28.6,1,1,100.0,3,11,14,4,4,1,1,4,-1
MIN,MIN vs. ATL,04/12/2024,W,12,25,8,18,44.4,2,9,22.2,7,8,87.5,3,10,13,7,5,1,2,5,-2
PHX,PHX @ SAC,04/12/2024,W,12,22,8,18,44.4,1,7,14.3,5,5,100.0,1,9,10,5,6,2,1,3,-5
CHA,CHA @ BOS,04/12/2024,L,12,24,9,19,47.4,4,9,44.4,2,2,100.0,0,7,7,7,4,1,3,3,-6
DAL,DAL vs. DET,04/12/2024,L,12,21,9,21,42.9,3,6,50.0,0,0,0.0,0,11,11,6,5,1,1,1,-6
MIL,MIL @ OKC,04/12/2024,L,12,34,13,24,54.2,4,7,57.1,4,4,100.0,3,6,9,10,3,0,0,6,-7
CHI,CHI @ WAS,04/12/2024,W,12,33,13,25,52.0,4,8,50.0,3,5,60.0,1,8,9,9,2,1,3,5,-7
MEM,MEM vs. LAL,04/12/2024,L,12,26,10,28,35.7,4,15,26.7,2,4,50.0,5,7,12,4,2,3,1,5,-8
IND,IND @ CLE,04/12/2024,L,12,26,11,21,52.4,3,7,42.9,1,3,33.3,1,9,10,9,6,1,0,3,-9
NOP,NOP @ GSW,04/12/2024,W,12,17,7,25,28.0,1,8,12.5,2,3,66.7,2,12,14,4,3,0,1,4,-9
UTA,UTA @ LAC,04/12/2024,W,12,27,12,23,52.2,1,9,11.1,2,3,66.7,3,5,8,6,5,2,1,2,-11
TOR,TOR @ MIA,04/12/2024,L,12,22,8,19,42.1,1,8,12.5,5,5,100.0,1,6,7,4,3,0,0,5,-11
ORL,ORL @ PHI,04/12/2024,L,12,27,10,21,47.6,1,5,20.0,6,8,75.0,0,9,9,5,3,1,1,6,-13
NYK,NYK vs. BKN,04/12/2024,W,12,14,5,20,25.0,2,8,25.0,2,2,100.0,2,5,7,4,1,0,0,4,-16
NOP,NOP @ SAC,04/11/2024,W,12,34,12,23,52.2,6,11,54.5,4,6,66.7,2,10,12,8,2,2,0,4,11
HOU,HOU @ UTA,04/11/2024,L,12,38,14,24,58.3,8,13,61.5,2,2,100.0,2,6,8,6,2,0,1,5,10
NYK,NYK @ BOS,04/11/2024,W,12,32,15,28,53.6,1,5,20.0,1,3,33.3,6,8,14,9,2,3,0,2,3
GSW,GSW @ POR,04/11/2024,W,12,24,9,19,47.4,4,9,44.4,2,2,100.0,1,15,16,4,6,2,6,4,2
CHI,CHI @ DET,04/11/2024,W,12,31,13,27,48.1,4,10,40.0,1,2,50.0,4,5,9,8,2,4,0,4,1
DET,DET vs. CHI,04/11/2024,L,12,30,9,16,56.3,6,11,54.5,6,9,66.7,2,9,11,8,6,1,2,3,-1
POR,POR vs. GSW,04/11/2024,L,12,22,8,29,27.6,3,9,33.3,3,5,60.0,5,9,14,5,2,3,1,3,-2
BOS,BOS vs. NYK,04/11/2024,L,12,29,11,19,57.9,5,10,50.0,2,3,66.7,1,6,7,5,5,2,4,4,-3
UTA,UTA vs. HOU,04/11/2024,W,12,28,11,23,47.8,1,7,14.3,5,5,100.0,4,5,9,6,3,2,2,5,-10
SAC,SAC vs. NOP,04/11/2024,L,12,23,7,17,41.2,2,7,28.6,7,7,100.0,0,9,9,2,5,0,0,5,-11
OKC,OKC vs. SAS,04/10/2024,W,12,34,11,26,42.3,2,9,22.2,10,11,90.9,1,20,21,6,2,4,1,2,23
DAL,DAL @ MIA,04/10/2024,W,12,33,13,22,59.1,7,13,53.8,0,0,0.0,2,8,10,7,3,1,1,4,9
ATL,ATL vs. CHA,04/10/2024,L,12,35,14,24,58.3,4,10,40.0,3,4,75.0,3,7,10,11,3,1,0,5,5
MIL,MIL vs. ORL,04/10/2024,W,12,27,10,26,38.5,3,11,27.3,4,6,66.7,4,8,12,6,2,4,0,4,4
CLE,CLE vs. MEM,04/10/2024,W,12,32,11,23,47.8,5,10,50.0,5,5,100.0,3,7,10,6,1,0,3,4,3
MIN,MIN @ DEN,04/10/2024,L,12,28,12,23,52.2,4,7,57.1,0,0,0.0,1,11,12,9,2,2,2,3,2
PHX,PHX @ LAC,04/10/2024,W,12,28,8,27,29.6,5,20,25.0,7,8,87.5,7,10,17,2,2,3,0,2,1
BKN,BKN vs. TOR,04/10/2024,W,12,27,11,23,47.8,3,9,33.3,2,2,100.0,4,13,17,8,4,0,4,2,0
TOR,TOR @ BKN,04/10/2024,L,12,27,10,29,34.5,5,13,38.5,2,3,66.7,6,8,14,6,2,4,1,3,0
LAC,LAC vs. PHX,04/10/2024,L,12,27,11,21,52.4,3,8,37.5,2,3,66.7,1,11,12,6,3,0,0,6,-1
DEN,DEN vs. MIN,04/10/2024,W,12,26,11,23,47.8,4,9,44.4,0,2,0.0,3,9,12,8,3,1,3,2,-2
MEM,MEM @ CLE,04/10/2024,L,12,29,10,22,45.5,5,9,55.6,4,4,100.0,2,9,11,7,2,0,3,3,-3
ORL,ORL @ MIL,04/10/2024,L,12,23,10,18,55.6,2,6,33.3,1,4,25.0,0,13,13,5,6,0,1,3,-4
CHA,CHA @ ATL,04/10/2024,W,12,30,10,19,52.6,4,9,44.4,6,6,100.0,1,4,5,8,3,3,1,5,-5
MIA,MIA vs. DAL,04/10/2024,L,12,24,8,20,40.0,4,8,50.0,4,4,100.0,2,5,7,6,3,2,1,2,-9
SAS,SAS @ OKC,04/10/2024,L,12,11,4,25,16.0,1,10,10.0,2,2,100.0,0,14,14,3,4,1,2,6,-23
LAC,LAC @ PHX,04/09/2024,W,12,37,15,23,65.2,4,5,80.0,3,3,100.0,4,17,21,9,6,2,0,7,27
WAS,WAS @ MIN,04/09/2024,L,12,44,17,27,63.0,9,13,69.2,1,2,50.0,3,13,16,12,2,1,3,7,18
DAL,DAL @ CHA,04/09/2024,W,12,36,13,25,52.0,8,18,44.4,2,4,50.0,5,16,21,10,3,1,3,4,18
DEN,DEN @ UTA,04/09/2024,W,12,34,15,28,53.6,4,8,50.0,0,0,0.0,7,9,16,11,2,3,1,1,17
MIL,MIL vs. BOS,04/09/2024,W,12,37,14,19,73.7,8,10,80.0,1,2,50.0,1,14,15,13,6,0,3,0,16
HOU,HOU vs. ORL,04/09/2024,W,12,36,15,25,60.0,5,10,50.0,1,2,50.0,1,9,10,12,1,3,2,3,11
TOR,TOR vs. IND,04/09/2024,L,12,35,15,28,53.6,2,8,25.0,3,4,75.0,6,7,13,3,1,4,1,2,10
GSW,GSW @ LAL,04/09/2024,W,12,38,14,24,58.3,7,10,70.0,3,4,75.0,1,12,13,13,3,1,4,4,9
NYK,NYK @ CHI,04/09/2024,W,12,36,13,20,65.0,6,7,85.7,4,4,100.0,0,11,11,9,3,1,1,2,9
MEM,MEM vs. SAS,04/09/2024,L,12,25,11,25,44.0,1,5,20.0,2,2,100.0,4,11,15,4,2,2,1,3,9
PHI,PHI vs. DET,04/09/2024,W,12,30,11,28,39.3,1,8,12.5,7,8,87.5,7,11,18,7,1,4,1,2,8
SAC,SAC @ OKC,04/09/2024,L,12,31,9,24,37.5,8,18,44.4,5,5,100.0,4,9,13,7,4,2,0,4,3
MIA,MIA @ ATL,04/09/2024,W,12,30,11,20,55.0,4,9,44.4,4,5,80.0,1,6,7,8,3,2,0,2,3
NOP,NOP @ POR,04/09/2024,W,12,28,9,20,45.0,2,9,22.2,8,9,88.9,1,7,8,4,2,3,0,3,1
POR,POR vs. NOP,04/09/2024,L,12,27,12,22,54.5,3,11,27.3,0,0,0.0,3,8,11,9,6,1,0,5,-1
OKC,OKC vs. SAC,04/09/2024,W,12,28,11,20,55.0,3,6,50.0,3,4,75.0,0,6,6,5,3,3,2,4,-3
ATL,ATL vs. MIA,04/09/2024,L,12,27,13,23,56.5,1,7,14.3,0,0,0.0,2,8,10,10,4,3,0,4,-3
DET,DET @ PHI,04/09/2024,L,12,22,8,20,40.0,3,7,42.9,3,4,75.0,2,9,11,5,5,0,2,5,-8
LAL,LAL vs. GSW,04/09/2024,L,12,29,10,24,41.7,4,9,44.4,5,7,71.4,2,8,10,8,2,1,1,3,-9
CHI,CHI vs. NYK,04/09/2024,L,12,27,10,22,45.5,4,10,40.0,3,4,75.0,1,6,7,4,2,0,1,3,-9
SAS,SAS @ MEM,04/09/2024,W,12,16,7,20,35.0,2,10,20.0,0,0,0.0,1,9,10,5,5,2,1,3,-9
IND,IND @ TOR,04/09/2024,W,12,25,9,21,42.9,4,13,30.8,3,4,75.0,4,7,11,4,6,1,0,3,-10
ORL,ORL @ HOU,04/09/2024,L,12,25,9,21,42.9,3,8,37.5,4,4,100.0,2,8,10,6,5,1,1,2,-11
BOS,BOS @ MIL,04/09/2024,L,12,21,8,26,30.8,5,14,35.7,0,0,0.0,2,5,7,7,2,3,0,1,-16
UTA,UTA vs. DEN,04/09/2024,L,12,17,8,25,32.0,1,6,16.7,0,0,0.0,6,6,12,4,5,0,1,0,-17
MIN,MIN vs. WAS,04/09/2024,W,12,26,7,20,35.0,3,9,33.3,9,12,75.0,0,6,6,5,2,2,3,1,-18
CHA,CHA vs. DAL,04/09/2024,L,12,18,7,22,31.8,1,6,16.7,3,4,75.0,0,8,8,5,1,1,1,2,-18
PHX,PHX vs. LAC,04/09/2024,L,12,10,2,19,10.5,0,4,0.0,6,8,75.0,1,3,4,2,4,4,1,4,-27
TOR,TOR vs. WAS,04/07/2024,W,12,42,16,27,59.3,5,13,38.5,5,5,100.0,1,14,15,12,3,7,1,7,25
ORL,ORL vs. CHI,04/07/2024,W,12,31,11,20,55.0,1,6,16.7,8,8,100.0,2,10,12,6,2,2,1,1,17
HOU,HOU @ DAL,04/07/2024,L,12,42,14,23,60.9,5,11,45.5,9,10,90.0,0,7,7,9,3,5,2,7,15
IND,IND vs. MIA,04/07/2024,W,12,38,16,24,66.7,4,8,50.0,2,2,100.0,1,11,12,10,2,0,0,6,14
GSW,GSW vs. UTA,04/07/2024,W,12,41,15,22,68.2,8,12,66.7,3,3,100.0,0,12,12,9,4,2,3,2,13
SAC,SAC @ BKN,04/07/2024,W,12,29,9,24,37.5,4,12,33.3,7,8,87.5,5,14,19,7,3,2,4,6,10
CLE,CLE @ LAC,04/07/2024,L,12,40,14,25,56.0,4,8,50.0,8,9,88.9,2,5,7,10,1,5,0,3,7
PHI,PHI @ SAS,04/07/2024,W,12,31,12,25,48.0,5,11,45.5,2,2,100.0,2,10,12,6,1,3,2,4,7
PHX,PHX vs. NOP,04/07/2024,L,12,26,10,28,35.7,5,12,41.7,1,1,100.0,3,11,14,9,1,3,3,0,7
MIL,MIL vs. NYK,04/07/2024,L,12,31,10,20,50.0,3,9,33.3,8,9,88.9,2,10,12,9,3,0,3,4,6
BOS,BOS vs. POR,04/07/2024,W,12,30,12,22,54.5,3,9,33.3,3,4,75.0,1,10,11,7,5,5,2,2,6
LAL,LAL vs. MIN,04/07/2024,L,12,37,14,27,51.9,4,6,66.7,5,5,100.0,6,6,12,9,3,3,1,4,4
OKC,OKC @ CHA,04/07/2024,W,12,31,13,29,44.8,4,11,36.4,1,1,100.0,6,7,13,9,2,3,0,5,2
CHA,CHA vs. OKC,04/07/2024,L,12,29,12,19,63.2,3,9,33.3,2,4,50.0,1,9,10,6,3,0,2,1,-2
MIN,MIN @ LAL,04/07/2024,W,12,33,13,22,59.1,3,6,50.0,4,6,66.7,1,7,8,5,4,3,2,2,-4
NYK,NYK @ MIL,04/07/2024,W,12,25,9,30,30.0,3,7,42.9,4,5,80.0,8,8,16,3,2,2,2,7,-6
POR,POR @ BOS,04/07/2024,L,12,24,9,29,31.0,4,11,36.4,2,2,100.0,7,10,17,4,6,5,0,4,-6
LAC,LAC vs. CLE,04/07/2024,W,12,33,12,19,63.2,3,7,42.9,6,6,100.0,1,10,11,7,6,1,0,6,-7
SAS,SAS vs. PHI,04/07/2024,L,12,24,8,21,38.1,3,8,37.5,5,7,71.4,3,10,13,5,4,1,2,2,-7
NOP,NOP @ PHX,04/07/2024,W,12,19,8,22,36.4,3,11,27.3,0,0,0.0,2,12,14,6,6,1,1,2,-7
BKN,BKN vs. SAC,04/07/2024,L,12,19,7,23,30.4,1,7,14.3,4,5,80.0,3,10,13,4,3,2,3,6,-10
UTA,UTA @ GSW,04/07/2024,L,12,28,11,24,45.8,6,10,60.0,0,0,0.0,0,6,6,8,2,1,2,2,-13
MIA,MIA @ IND,04/07/2024,L,12,24,9,23,39.1,0,7,0.0,6,7,85.7,2,4,6,5,0,0,0,3,-14
DAL,DAL vs. HOU,04/07/2024,W,12,27,7,16,43.8,2,7,28.6,11,12,91.7,0,7,7,3,8,2,0,8,-15
CHI,CHI @ ORL,04/07/2024,L,12,14,6,18,33.3,2,7,28.6,0,0,0.0,0,6,6,6,7,1,0,6,-17
WAS,WAS @ TOR,04/07/2024,L,12,17,5,17,29.4,3,9,33.3,4,6,66.7,0,9,9,4,8,2,1,5,-25
DET,DET @ BKN,04/06/2024,L,12,35,14,25,56.0,6,13,46.2,1,2,50.0,1,9,10,10,1,4,1,5,12
DEN,DEN vs. ATL,04/06/2024,W,12,33,11,22,50.0,4,9,44.4,7,7,100.0,2,11,13,7,5,4,0,4,7
PHI,PHI @ MEM,04/06/2024,W,12,28,9,19,47.4,4,11,36.4,6,6,100.0,2,8,10,6,5,2,2,6,5
LAL,LAL vs. CLE,04/06/2024,W,12,36,13,22,59.1,5,10,50.0,5,8,62.5,0,7,7,9,3,5,2,1,3
CLE,CLE @ LAL,04/06/2024,L,12,33,14,25,56.0,3,9,33.3,2,2,100.0,3,11,14,9,5,3,0,5,-3
MEM,MEM vs. PHI,04/06/2024,L,12,23,9,22,40.9,1,7,14.3,4,6,66.7,4,6,10,2,3,2,0,4,-5
ATL,ATL @ DEN,04/06/2024,L,12,26,9,23,39.1,3,11,27.3,5,6,83.3,2,8,10,8,5,3,1,5,-7
BKN,BKN vs. DET,04/06/2024,W,12,23,7,16,43.8,2,8,25.0,7,8,87.5,1,10,11,4,7,1,0,3,-12
LAC,LAC vs. UTA,04/05/2024,W,12,41,17,23,73.9,5,7,71.4,2,3,66.7,1,16,17,10,4,1,1,3,25
CHA,CHA vs. ORL,04/05/2024,W,12,38,14,19,73.7,6,8,75.0,4,4,100.0,0,8,8,10,1,3,0,4,15
PHX,PHX vs. MIN,04/05/2024,W,12,32,11,20,55.0,2,4,50.0,8,9,88.9,1,10,11,10,5,6,1,5,12
CHI,CHI vs. NYK,04/05/2024,W,12,29,12,22,54.5,3,7,42.9,2,2,100.0,3,12,15,10,2,0,2,2,12
BOS,BOS vs. SAC,04/05/2024,W,12,27,10,20,50.0,4,11,36.4,3,4,75.0,1,14,15,6,4,2,1,3,12
MEM,MEM vs. DET,04/05/2024,W,12,32,13,23,56.5,3,6,50.0,3,4,75.0,4,9,13,6,4,5,1,2,10
NOP,NOP vs. SAS,04/05/2024,L,12,27,11,20,55.0,3,9,33.3,2,2,100.0,3,11,14,5,6,2,1,3,9
MIL,MIL vs. TOR,04/05/2024,L,12,27,11,27,40.7,4,14,28.6,1,2,50.0,3,10,13,8,1,4,2,1,6
POR,POR @ WAS,04/05/2024,W,12,32,13,26,50.0,3,7,42.9,3,3,100.0,6,10,16,9,4,2,0,4,5
OKC,OKC @ IND,04/05/2024,L,12,32,13,20,65.0,1,5,20.0,5,5,100.0,0,6,6,7,3,0,2,5,1
GSW,GSW @ DAL,04/05/2024,L,12,32,12,27,44.4,3,7,42.9,5,7,71.4,5,10,15,8,3,1,0,3,1
HOU,HOU vs. MIA,04/05/2024,L,12,27,9,22,40.9,4,11,36.4,5,7,71.4,2,9,11,9,4,2,1,2,0
MIA,MIA @ HOU,04/05/2024,W,12,27,11,22,50.0,1,8,12.5,4,4,100.0,0,11,11,8,4,3,0,5,0
IND,IND vs. OKC,04/05/2024,W,12,31,12,23,52.2,3,9,33.3,4,4,100.0,4,5,9,7,3,0,0,6,-1
DAL,DAL vs. GSW,04/05/2024,W,12,31,13,23,56.5,5,11,45.5,0,2,0.0,1,9,10,10,4,3,1,4,-1
WAS,WAS vs. POR,04/05/2024,L,12,27,11,22,50.0,3,10,30.0,2,4,50.0,2,6,8,7,3,3,1,3,-5
TOR,TOR @ MIL,04/05/2024,W,12,21,8,21,38.1,3,9,33.3,2,2,100.0,2,13,15,3,5,1,1,4,-6
SAS,SAS @ NOP,04/05/2024,W,12,18,6,20,30.0,2,13,15.4,4,5,80.0,1,6,7,6,4,4,0,2,-9
DET,DET @ MEM,04/05/2024,L,12,22,8,18,44.4,4,9,44.4,2,4,50.0,2,6,8,6,8,3,1,3,-10
MIN,MIN @ PHX,04/05/2024,L,12,20,6,18,33.3,3,6,50.0,5,5,100.0,2,7,9,5,8,2,0,5,-12
NYK,NYK @ CHI,04/05/2024,L,12,17,7,25,28.0,3,8,37.5,0,0,0.0,4,7,11,4,2,1,1,1,-12
SAC,SAC @ BOS,04/05/2024,L,12,15,5,21,23.8,2,13,15.4,3,5,60.0,1,9,10,4,3,3,0,3,-12
ORL,ORL @ CHA,04/05/2024,L,12,23,9,23,39.1,2,9,22.2,3,4,75.0,5,5,10,6,4,1,0,5,-15
UTA,UTA @ LAC,04/05/2024,L,12,16,6,24,25.0,2,10,20.0,2,3,66.7,2,5,7,4,4,4,0,5,-25
SAC,SAC @ NYK,04/04/2024,L,12,35,14,21,66.7,7,10,70.0,0,0,0.0,2,9,11,8,3,3,1,4,15
DEN,DEN @ LAC,04/04/2024,L,12,31,13,23,56.5,5,11,45.5,0,4,0.0,1,14,15,10,4,1,1,2,11
PHI,PHI @ MIA,04/04/2024,W,12,39,16,28,57.1,5,11,45.5,2,2,100.0,4,9,13,9,3,3,3,5,10
GSW,GSW @ HOU,04/04/2024,W,12,33,11,17,64.7,8,12,66.7,3,4,75.0,2,8,10,7,9,3,1,5,9
ATL,ATL @ DAL,04/04/2024,L,12,31,10,18,55.6,3,7,42.9,8,12,66.7,1,12,13,6,6,4,0,6,6
DAL,DAL vs. ATL,04/04/2024,W,12,25,8,24,33.3,4,13,30.8,5,6,83.3,5,8,13,4,6,1,1,7,-6
HOU,HOU vs. GSW,04/04/2024,L,12,24,9,22,40.9,1,8,12.5,5,6,83.3,3,4,7,5,4,6,0,2,-9
MIA,MIA vs. PHI,04/04/2024,L,12,29,9,21,42.9,3,7,42.9,8,8,100.0,1,6,7,6,4,2,2,1,-10
LAC,LAC vs. DEN,04/04/2024,W,12,20,9,27,33.3,2,8,25.0,0,0,0.0,1,12,13,7,2,3,0,4,-11
NYK,NYK vs. SAC,04/04/2024,W,12,20,8,20,40.0,1,6,16.7,3,5,60.0,4,5,9,8,4,1,0,3,-15
PHX,PHX vs. CLE,04/03/2024,W,12,34,12,22,54.5,4,8,50.0,6,6,100.0,3,11,14,9,5,4,0,3,14
IND,IND @ BKN,04/03/2024,L,12,31,13,24,54.2,3,7,42.9,2,3,66.7,3,7,10,6,1,4,2,6,12
LAL,LAL @ WAS,04/03/2024,W,12,39,12,24,50.0,2,7,28.6,13,13,100.0,6,9,15,3,3,4,0,2,10
POR,POR @ CHA,04/03/2024,W,12,30,13,30,43.3,3,8,37.5,1,1,100.0,4,13,17,9,1,0,2,1,9
BOS,BOS vs. OKC,04/03/2024,W,12,30,12,26,46.2,4,12,33.3,2,2,100.0,5,10,15,9,4,0,2,3,7
ATL,ATL vs. DET,04/03/2024,W,12,28,12,23,52.2,1,8,12.5,3,4,75.0,1,13,14,7,4,4,3,5,5
MEM,MEM @ MIL,04/03/2024,W,12,26,10,20,50.0,2,8,25.0,4,5,80.0,1,12,13,5,3,0,1,2,4
MIN,MIN vs. TOR,04/03/2024,W,12,23,7,19,36.8,4,11,36.4,5,8,62.5,2,10,12,6,4,1,2,4,4
NOP,NOP vs. ORL,04/03/2024,L,12,26,10,22,45.5,2,6,33.3,4,4,100.0,1,9,10,5,1,3,0,7,2
ORL,ORL @ NOP,04/03/2024,W,12,24,7,20,35.0,3,7,42.9,7,10,70.0,4,9,13,7,4,1,1,4,-2
MIL,MIL vs. MEM,04/03/2024,L,12,22,8,24,33.3,5,12,41.7,1,2,50.0,2,10,12,7,1,1,2,3,-4
TOR,TOR @ MIN,04/03/2024,L,12,19,7,21,33.3,1,7,14.3,4,4,100.0,1,11,12,3,5,0,1,6,-4
DET,DET @ ATL,04/03/2024,L,12,23,8,25,32.0,0,6,0.0,7,8,87.5,3,10,13,5,4,3,0,2,-5
OKC,OKC @ BOS,04/03/2024,L,12,23,8,22,36.4,1,10,10.0,6,6,100.0,3,7,10,4,3,3,1,2,-7
CHA,CHA vs. POR,04/03/2024,L,12,21,9,23,39.1,1,7,14.3,2,2,100.0,0,10,10,6,1,1,3,3,-9
WAS,WAS vs. LAL,04/03/2024,L,12,29,10,19,52.6,7,13,53.8,2,2,100.0,0,6,6,7,5,2,0,9,-10
BKN,BKN vs. IND,04/03/2024,W,12,19,7,21,33.3,1,9,11.1,4,6,66.7,4,7,11,4,6,0,2,5,-12
CLE,CLE @ PHX,04/03/2024,L,12,20,8,22,36.4,2,11,18.2,2,2,100.0,2,6,8,6,6,2,2,4,-14
