TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
PHX,PHX @ MIN,04/14/2024,W,12,44,16,24,66.7,8,11,72.7,4,5,80.0,3,3,6,10,1,7,2,2,22
OKC,OKC vs. DAL,04/14/2024,W,12,39,17,28,60.7,3,11,27.3,2,2,100.0,3,9,12,11,2,1,2,6,17
IND,IND vs. ATL,04/14/2024,W,12,49,20,27,74.1,6,11,54.5,3,3,100.0,5,9,14,10,4,2,2,7,15
SAC,SAC vs. POR,04/14/2024,W,12,30,11,18,61.1,3,8,37.5,5,7,71.4,0,10,10,8,5,5,1,5,12
CLE,CLE vs. CHA,04/14/2024,L,12,33,13,26,50.0,5,8,62.5,2,2,100.0,3,13,16,10,2,1,1,2,9
MIL,MIL @ ORL,04/14/2024,L,12,30,10,25,40.0,3,9,33.3,7,8,87.5,5,11,16,5,2,2,1,2,8
GSW,GSW vs. UTA,04/14/2024,W,12,33,12,22,54.5,4,12,33.3,5,5,100.0,1,4,5,8,1,2,1,3,6
LAL,LAL @ NOP,04/14/2024,W,12,30,13,23,56.5,2,6,33.3,2,2,100.0,2,6,8,11,2,3,1,1,6
SAS,SAS vs. DET,04/14/2024,W,12,29,12,24,50.0,4,8,50.0,1,2,50.0,4,10,14,8,4,3,1,4,6
BOS,BOS vs. WAS,04/14/2024,W,12,34,13,25,52.0,3,8,37.5,5,7,71.4,3,9,12,8,1,3,4,3,4
DEN,DEN @ MEM,04/14/2024,W,12,29,11,21,52.4,4,7,57.1,3,5,60.0,3,11,14,7,6,1,2,3,3
HOU,HOU @ LAC,04/14/2024,W,12,24,10,25,40.0,4,12,33.3,0,2,0.0,5,11,16,7,4,2,0,2,3
NYK,NYK vs. CHI,04/14/2024,W,12,29,12,24,50.0,3,8,37.5,2,2,100.0,5,5,10,7,4,3,0,2,1
BKN,BKN @ PHI,04/14/2024,L,12,23,8,22,36.4,4,10,40.0,3,4,75.0,0,13,13,6,2,0,1,1,1
TOR,TOR @ MIA,04/14/2024,L,12,24,8,19,42.1,0,8,0.0,8,10,80.0,1,9,10,6,4,2,0,6,0
MIA,MIA vs. TOR,04/14/2024,W,12,24,7,20,35.0,2,8,25.0,8,9,88.9,4,10,14,4,7,3,0,7,0
CHI,CHI @ NYK,04/14/2024,L,12,28,12,18,66.7,3,7,42.9,1,2,50.0,1,5,6,6,5,4,2,3,-1
PHI,PHI vs. BKN,04/14/2024,W,12,22,10,24,41.7,1,7,14.3,1,2,50.0,1,12,13,6,1,1,3,4,-1
MEM,MEM vs. DEN,04/14/2024,L,12,26,12,31,38.7,1,7,14.3,1,2,50.0,8,9,17,5,3,2,1,4,-3
LAC,LAC vs. HOU,04/14/2024,L,12,21,10,26,38.5,0,4,0.0,1,1,100.0,4,9,13,5,2,3,2,1,-3
WAS,WAS @ BOS,04/14/2024,L,12,30,12,25,48.0,3,9,33.3,3,3,100.0,1,9,10,7,3,0,1,6,-4
UTA,UTA @ GSW,04/14/2024,L,12,27,12,21,57.1,1,6,16.7,2,2,100.0,3,6,9,5,5,1,1,4,-6
