TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
LAL,LAL vs. HOU,04/11/2025,W,12,33,14,25,56.0,4,8,50.0,1,1,100.0,3,11,14,7,4,3,0,5,11
DEN,DEN vs. MEM,04/11/2025,W,12,25,11,23,47.8,0,3,0.0,3,6,50.0,3,12,15,8,3,3,0,6,11
SAS,SAS @ PHX,04/11/2025,L,12,34,13,22,59.1,5,7,71.4,3,6,50.0,1,9,10,10,4,3,0,2,9
ATL,ATL @ PHI,04/11/2025,W,12,33,13,24,54.2,6,11,54.5,1,2,50.0,4,7,11,8,3,3,2,4,8
TOR,TOR @ DAL,04/11/2025,L,12,35,14,25,56.0,4,10,40.0,3,4,75.0,5,7,12,7,2,2,1,6,7
MIL,MIL @ DET,04/11/2025,W,12,27,10,26,38.5,4,11,36.4,3,4,75.0,3,12,15,8,3,4,2,5,5
SAC,SAC vs. LAC,04/11/2025,L,12,30,9,20,45.0,4,10,40.0,8,9,88.9,3,8,11,5,1,1,1,8,4
POR,POR vs. GSW,04/11/2025,L,12,29,11,21,52.4,2,10,20.0,5,6,83.3,4,9,13,6,6,4,0,7,3
CHI,CHI vs. WAS,04/11/2025,W,12,23,9,23,39.1,4,13,30.8,1,1,100.0,4,10,14,6,4,0,1,4,2
MIN,MIN vs. BKN,04/11/2025,W,12,19,6,15,40.0,1,4,25.0,6,6,100.0,1,15,16,4,6,0,0,1,1
BKN,BKN @ MIN,04/11/2025,L,12,18,6,26,23.1,5,16,31.3,1,2,50.0,5,7,12,5,1,4,0,5,-1
WAS,WAS @ CHI,04/11/2025,L,12,21,8,22,36.4,1,7,14.3,4,5,80.0,2,9,11,6,2,1,1,4,-2
GSW,GSW @ POR,04/11/2025,W,12,26,7,17,41.2,4,9,44.4,8,10,80.0,1,6,7,5,6,4,0,4,-3
LAC,LAC @ SAC,04/11/2025,W,12,26,8,19,42.1,1,4,25.0,9,11,81.8,4,7,11,5,1,1,0,6,-4
DET,DET vs. MIL,04/11/2025,L,12,22,8,23,34.8,5,13,38.5,1,4,25.0,2,10,12,6,4,0,2,4,-5
DAL,DAL vs. TOR,04/11/2025,W,12,28,9,20,45.0,5,9,55.6,5,6,83.3,4,6,10,6,5,2,1,3,-7
PHI,PHI vs. ATL,04/11/2025,L,12,25,10,24,41.7,2,3,66.7,3,4,75.0,6,7,13,6,4,0,1,1,-8
PHX,PHX vs. SAS,04/11/2025,W,12,25,8,20,40.0,5,11,45.5,4,4,100.0,1,7,8,4,5,2,3,5,-9
NOP,NOP vs. MIA,04/11/2025,L,12,32,11,24,45.8,4,8,50.0,6,8,75.0,3,8,11,10,5,1,1,2,-11
HOU,HOU @ LAL,04/11/2025,L,12,22,8,20,40.0,2,11,18.2,4,5,80.0,1,6,7,7,3,1,5,2,-11
MEM,MEM @ DEN,04/11/2025,L,12,14,4,18,22.2,1,6,16.7,5,8,62.5,1,7,8,3,4,1,3,6,-11
UTA,UTA vs. OKC,04/11/2025,L,12,25,8,25,32.0,5,17,29.4,4,4,100.0,5,10,15,4,5,2,1,5,-13
NYK,NYK vs. CLE,04/11/2025,L,12,16,6,26,23.1,3,10,30.0,1,2,50.0,6,4,10,4,3,2,1,4,-14
ORL,ORL @ IND,04/11/2025,W,12,20,7,18,38.9,1,8,12.5,5,5,100.0,0,3,3,5,5,3,5,8,-19
CHA,CHA @ BOS,04/11/2025,L,12,19,7,21,33.3,2,11,18.2,3,4,75.0,3,7,10,5,8,3,0,4,-20
MIL,MIL vs. NOP,04/10/2025,W,12,36,10,19,52.6,4,11,36.4,12,16,75.0,2,12,14,7,6,4,2,9,10
DET,DET vs. NYK,04/10/2025,W,12,30,13,21,61.9,0,5,0.0,4,5,80.0,3,6,9,6,3,2,1,8,9
MEM,MEM vs. MIN,04/10/2025,L,12,28,11,24,45.8,3,11,27.3,3,7,42.9,3,9,12,9,0,2,1,4,6
BKN,BKN vs. ATL,04/10/2025,L,12,35,11,20,55.0,8,14,57.1,5,6,83.3,1,10,11,10,5,1,0,7,5
IND,IND vs. CLE,04/10/2025,W,12,33,12,21,57.1,5,8,62.5,4,5,80.0,4,7,11,9,5,2,2,5,3
CLE,CLE @ IND,04/10/2025,L,12,30,10,25,40.0,8,12,66.7,2,4,50.0,3,4,7,8,3,2,0,5,-3
ATL,ATL @ BKN,04/10/2025,W,12,30,11,20,55.0,5,12,41.7,3,7,42.9,1,7,8,9,2,1,0,4,-5
MIN,MIN @ MEM,04/10/2025,W,12,22,8,21,38.1,2,11,18.2,4,4,100.0,1,13,14,6,3,0,0,8,-6
NYK,NYK @ DET,04/10/2025,L,12,21,8,20,40.0,2,7,28.6,3,5,60.0,4,5,9,7,7,2,0,5,-9
NOP,NOP @ MIL,04/10/2025,L,12,26,7,24,29.2,3,12,25.0,9,11,81.8,5,9,14,4,4,3,0,9,-10
SAS,SAS @ GSW,04/09/2025,W,12,38,13,18,72.2,7,10,70.0,5,5,100.0,1,11,12,9,5,3,3,7,15
TOR,TOR vs. CHA,04/09/2025,W,12,38,16,24,66.7,4,10,40.0,2,2,100.0,2,8,10,13,1,3,0,4,10
PHI,PHI @ WAS,04/09/2025,W,12,33,8,16,50.0,0,5,0.0,17,24,70.8,5,8,13,4,5,2,1,7,9
LAL,LAL @ DAL,04/09/2025,W,12,29,12,26,46.2,2,7,28.6,3,4,75.0,7,6,13,5,2,2,0,6,8
UTA,UTA vs. POR,04/09/2025,W,12,34,13,23,56.5,4,9,44.4,4,5,80.0,5,10,15,6,5,2,0,8,5
LAC,LAC vs. HOU,04/09/2025,W,12,29,9,20,45.0,5,9,55.6,6,6,100.0,5,10,15,6,4,1,1,3,3
SAC,SAC vs. DEN,04/09/2025,L,12,33,12,27,44.4,4,10,40.0,5,6,83.3,7,7,14,5,1,1,3,9,2
OKC,OKC @ PHX,04/09/2025,W,12,20,8,18,44.4,2,5,40.0,2,2,100.0,1,12,13,5,4,0,1,6,1
ORL,ORL vs. BOS,04/09/2025,W,12,16,6,22,27.3,1,11,9.1,3,4,75.0,3,13,16,3,2,0,1,1,1
MIA,MIA @ CHI,04/09/2025,L,12,27,10,22,45.5,3,11,27.3,4,8,50.0,3,9,12,7,4,3,1,4,0
CHI,CHI vs. MIA,04/09/2025,W,12,27,10,21,47.6,3,9,33.3,4,4,100.0,2,9,11,7,5,1,1,5,0
PHX,PHX vs. OKC,04/09/2025,L,12,19,7,22,31.8,3,14,21.4,2,5,40.0,3,7,10,4,1,2,1,1,-1
BOS,BOS @ ORL,04/09/2025,L,12,15,7,24,29.2,1,13,7.7,0,0,0.0,3,11,14,2,2,2,0,3,-1
DEN,DEN @ SAC,04/09/2025,W,12,31,8,15,53.3,3,5,60.0,12,15,80.0,2,6,8,4,2,0,2,5,-2
HOU,HOU @ LAC,04/09/2025,L,12,26,10,21,47.6,5,11,45.5,1,2,50.0,1,6,7,6,2,2,2,4,-3
POR,POR @ UTA,04/09/2025,L,12,29,12,23,52.2,2,10,20.0,3,7,42.9,3,4,7,8,4,2,0,6,-5
DAL,DAL vs. LAL,04/09/2025,L,12,21,6,14,42.9,3,7,42.9,6,10,60.0,3,7,10,4,6,1,3,4,-8
WAS,WAS vs. PHI,04/09/2025,L,12,24,6,17,35.3,3,11,27.3,9,11,81.8,2,5,7,3,4,2,0,14,-9
CHA,CHA @ TOR,04/09/2025,L,12,28,10,17,58.8,4,10,40.0,4,5,80.0,0,6,6,6,5,0,1,3,-10
GSW,GSW vs. SAS,04/09/2025,L,12,23,5,21,23.8,1,10,10.0,12,13,92.3,6,3,9,4,3,3,0,4,-15
MIL,MIL vs. MIN,04/08/2025,W,12,40,13,23,56.5,5,10,50.0,9,11,81.8,3,11,14,7,1,6,1,4,27
OKC,OKC vs. LAL,04/08/2025,W,12,39,14,27,51.9,6,12,50.0,5,6,83.3,3,10,13,6,3,3,1,10,17
NOP,NOP @ BKN,04/08/2025,L,12,35,12,21,57.1,4,12,33.3,7,8,87.5,3,9,12,10,4,3,2,5,13
CLE,CLE vs. CHI,04/08/2025,W,12,37,13,25,52.0,9,15,60.0,2,2,100.0,5,6,11,10,4,5,1,5,9
SAS,SAS @ LAC,04/08/2025,L,12,39,16,28,57.1,7,18,38.9,0,1,0.0,5,5,10,11,2,3,2,4,8
IND,IND vs. WAS,04/08/2025,W,12,32,10,17,58.8,5,10,50.0,7,9,77.8,1,10,11,7,1,0,1,4,7
NYK,NYK vs. BOS,04/08/2025,L,12,29,12,24,50.0,2,7,28.6,3,3,100.0,4,6,10,8,0,3,1,3,5
GSW,GSW @ PHX,04/08/2025,W,12,38,13,23,56.5,5,10,50.0,7,12,58.3,6,8,14,8,5,4,0,2,4
ATL,ATL @ ORL,04/08/2025,L,12,28,9,20,45.0,2,6,33.3,8,9,88.9,4,5,9,5,2,2,0,7,1
MEM,MEM @ CHA,04/08/2025,W,12,27,9,23,39.1,6,17,35.3,3,6,50.0,6,6,12,7,4,3,0,6,1
ORL,ORL vs. ATL,04/08/2025,W,12,27,9,21,42.9,2,9,22.2,7,7,100.0,5,7,12,5,4,1,2,7,-1
CHA,CHA vs. MEM,04/08/2025,L,12,26,10,18,55.6,2,9,22.2,4,6,66.7,2,8,10,8,4,2,3,4,-1
PHX,PHX vs. GSW,04/08/2025,L,12,34,13,24,54.2,5,12,41.7,3,4,75.0,3,6,9,8,5,4,2,6,-4
BOS,BOS @ NYK,04/08/2025,W,12,24,9,15,60.0,4,10,40.0,2,3,66.7,1,4,5,4,4,0,0,2,-5
WAS,WAS @ IND,04/08/2025,L,12,25,11,25,44.0,2,9,22.2,1,2,50.0,3,7,10,2,0,1,1,6,-7
LAC,LAC vs. SAS,04/08/2025,W,12,31,12,19,63.2,4,6,66.7,3,4,75.0,1,8,9,7,5,1,0,2,-8
CHI,CHI @ CLE,04/08/2025,L,12,28,10,23,43.5,4,11,36.4,4,5,80.0,5,7,12,8,6,1,0,3,-9
BKN,BKN vs. NOP,04/08/2025,W,12,22,7,17,41.2,3,6,50.0,5,6,83.3,1,6,7,5,6,1,1,5,-13
LAL,LAL @ OKC,04/08/2025,L,12,22,5,16,31.3,0,4,0.0,12,18,66.7,4,9,13,1,4,1,1,4,-17
MIN,MIN @ MIL,04/08/2025,L,12,13,4,20,20.0,2,12,16.7,3,3,100.0,3,7,10,3,9,1,0,9,-27
MIA,MIA vs. PHI,04/07/2025,W,12,34,14,22,63.6,5,10,50.0,1,1,100.0,2,10,12,8,2,1,2,4,12
SAC,SAC @ DET,04/07/2025,W,12,30,11,18,61.1,5,9,55.6,3,3,100.0,1,8,9,4,2,1,2,7,7
DET,DET vs. SAC,04/07/2025,L,12,23,6,15,40.0,2,5,40.0,9,12,75.0,2,5,7,3,3,0,0,4,-7
PHI,PHI @ MIA,04/07/2025,L,12,22,9,20,45.0,3,8,37.5,1,5,20.0,2,5,7,5,2,0,0,2,-12
CLE,CLE vs. SAC,04/06/2025,L,12,34,14,24,58.3,3,10,30.0,3,4,75.0,4,7,11,8,4,3,0,6,5
IND,IND @ DEN,04/06/2025,W,12,27,8,22,36.4,2,11,18.2,9,12,75.0,1,9,10,6,0,4,1,4,4
PHX,PHX @ NYK,04/06/2025,L,12,28,9,21,42.9,0,9,0.0,10,13,76.9,3,10,13,3,3,1,0,8,3
HOU,HOU @ GSW,04/06/2025,W,12,23,10,20,50.0,3,11,27.3,0,0,0.0,4,9,13,6,6,0,2,3,3
BOS,BOS vs. WAS,04/06/2025,W,12,24,10,20,50.0,3,11,27.3,1,2,50.0,7,6,13,6,5,3,1,3,2
TOR,TOR @ BKN,04/06/2025,W,12,38,17,27,63.0,2,4,50.0,2,3,66.7,5,6,11,8,4,5,1,4,1
MIL,MIL @ NOP,04/06/2025,W,12,30,11,25,44.0,1,5,20.0,7,10,70.0,2,13,15,9,1,4,2,4,1
ATL,ATL vs. UTA,04/06/2025,W,12,28,11,21,52.4,2,4,50.0,4,5,80.0,2,10,12,9,2,1,0,6,1
LAL,LAL @ OKC,04/06/2025,W,12,23,9,18,50.0,4,8,50.0,1,2,50.0,2,5,7,5,7,5,0,3,1
CHA,CHA vs. CHI,04/06/2025,L,12,36,12,21,57.1,2,7,28.6,10,13,76.9,4,6,10,8,3,1,0,9,0
CHI,CHI @ CHA,04/06/2025,W,12,36,11,21,52.4,4,12,33.3,10,11,90.9,4,6,10,6,3,1,0,10,0
SAS,SAS @ POR,04/06/2025,L,12,34,11,22,50.0,4,9,44.4,8,9,88.9,5,7,12,9,6,2,0,7,0
POR,POR vs. SAS,04/06/2025,W,12,34,11,22,50.0,4,9,44.4,8,9,88.9,2,5,7,8,3,5,1,8,0
BKN,BKN vs. TOR,04/06/2025,L,12,37,14,21,66.7,5,11,45.5,4,4,100.0,0,5,5,8,5,1,2,2,-1
NOP,NOP vs. MIL,04/06/2025,L,12,29,10,26,38.5,5,11,45.5,4,4,100.0,2,13,15,8,4,0,2,6,-1
UTA,UTA @ ATL,04/06/2025,L,12,27,6,17,35.3,5,14,35.7,10,12,83.3,2,7,9,3,2,2,0,5,-1
OKC,OKC vs. LAL,04/06/2025,L,12,22,9,20,45.0,2,8,25.0,2,2,100.0,5,5,10,4,5,3,0,2,-1
WAS,WAS @ BOS,04/06/2025,L,12,22,9,19,47.4,4,9,44.4,0,0,0.0,4,2,6,7,3,0,1,2,-2
NYK,NYK vs. PHX,04/06/2025,W,12,25,7,17,41.2,1,8,12.5,10,12,83.3,0,9,9,5,2,3,1,9,-3
GSW,GSW vs. HOU,04/06/2025,L,12,20,9,23,39.1,2,10,20.0,0,0,0.0,4,6,10,7,5,5,0,2,-3
DEN,DEN vs. IND,04/06/2025,L,12,23,8,20,40.0,2,6,33.3,5,6,83.3,3,12,15,4,6,0,1,9,-4
SAC,SAC @ CLE,04/06/2025,W,12,29,10,17,58.8,5,8,62.5,4,6,66.7,0,6,6,5,4,1,2,4,-5
ATL,ATL vs. NYK,04/05/2025,L,12,25,10,19,52.6,3,9,33.3,2,2,100.0,1,10,11,5,2,2,2,4,12
MEM,MEM @ DET,04/05/2025,W,12,34,9,20,45.0,3,6,50.0,13,15,86.7,3,12,15,4,6,2,1,6,8
LAC,LAC vs. DAL,04/05/2025,W,12,30,11,25,44.0,4,10,40.0,4,4,100.0,3,11,14,7,0,1,1,7,8
MIL,MIL @ MIA,04/05/2025,W,12,30,10,15,66.7,2,3,66.7,8,9,88.9,0,11,11,8,3,1,1,5,7
MIN,MIN @ PHI,04/05/2025,W,12,31,12,22,54.5,4,9,44.4,3,4,75.0,5,9,14,5,4,0,2,5,4
PHI,PHI vs. MIN,04/05/2025,L,12,27,9,25,36.0,5,11,45.5,4,6,66.7,4,5,9,4,1,2,1,4,-4
MIA,MIA vs. MIL,04/05/2025,L,12,23,8,22,36.4,2,10,20.0,5,6,83.3,3,6,9,4,1,1,1,5,-7
DET,DET vs. MEM,04/05/2025,L,12,26,8,24,33.3,3,13,23.1,7,8,87.5,2,7,9,7,4,3,1,8,-8
DAL,DAL @ LAC,04/05/2025,L,12,22,6,17,35.3,0,6,0.0,10,12,83.3,1,9,10,3,2,0,4,4,-8
NYK,NYK @ ATL,04/05/2025,W,12,13,5,19,26.3,1,8,12.5,2,3,66.7,2,7,9,3,3,0,0,2,-12
IND,IND vs. UTA,04/04/2025,W,12,42,15,21,71.4,2,5,40.0,10,10,100.0,2,11,13,11,2,5,3,5,24
SAS,SAS vs. CLE,04/04/2025,L,12,31,10,22,45.5,4,12,33.3,7,7,100.0,1,8,9,7,3,4,4,5,8
LAL,LAL vs. NOP,04/04/2025,W,12,31,11,17,64.7,2,5,40.0,7,7,100.0,1,9,10,6,5,1,1,3,7
BOS,BOS vs. PHX,04/04/2025,W,12,33,13,26,50.0,3,12,25.0,4,4,100.0,6,11,17,9,3,0,2,2,5
POR,POR @ CHI,04/04/2025,L,12,30,11,27,40.7,2,9,22.2,6,8,75.0,3,8,11,6,1,2,1,4,4
TOR,TOR vs. DET,04/04/2025,L,12,28,10,23,43.5,2,9,22.2,6,8,75.0,2,9,11,5,1,2,0,8,4
CHA,CHA vs. SAC,04/04/2025,L,12,30,9,18,50.0,3,6,50.0,9,10,90.0,4,10,14,5,4,0,0,2,3
HOU,HOU vs. OKC,04/04/2025,W,12,29,9,17,52.9,2,5,40.0,9,11,81.8,2,9,11,4,4,3,1,3,3
LAC,LAC vs. DAL,04/04/2025,W,12,33,12,20,60.0,7,11,63.6,2,4,50.0,2,9,11,9,3,3,2,9,2
GSW,GSW vs. DEN,04/04/2025,W,12,22,7,17,41.2,4,11,36.4,4,5,80.0,1,4,5,6,4,6,0,4,2
DAL,DAL @ LAC,04/04/2025,L,12,31,11,21,52.4,2,5,40.0,7,9,77.8,3,6,9,5,3,0,0,2,-2
DEN,DEN @ GSW,04/04/2025,L,12,20,8,12,66.7,1,3,33.3,3,3,100.0,0,10,10,6,9,3,0,7,-2
SAC,SAC @ CHA,04/04/2025,W,12,27,10,20,50.0,5,8,62.5,2,2,100.0,0,6,6,6,3,1,0,9,-3
OKC,OKC @ HOU,04/04/2025,L,12,26,11,19,57.9,4,9,44.4,0,1,0.0,0,3,3,7,3,1,1,6,-3
CHI,CHI vs. POR,04/04/2025,W,12,26,8,18,44.4,3,7,42.9,7,8,87.5,2,14,16,5,7,0,2,5,-4
DET,DET @ TOR,04/04/2025,W,12,24,8,20,40.0,0,8,0.0,8,8,100.0,2,10,12,2,4,1,1,5,-4
PHX,PHX @ BOS,04/04/2025,L,12,28,11,25,44.0,5,11,45.5,1,1,100.0,3,6,9,7,3,3,1,4,-5
NOP,NOP @ LAL,04/04/2025,L,12,24,9,23,39.1,3,11,27.3,3,4,75.0,6,5,11,6,4,3,0,4,-7
CLE,CLE @ SAS,04/04/2025,W,12,23,8,21,38.1,5,11,45.5,2,2,100.0,2,9,11,5,8,2,0,6,-8
UTA,UTA @ IND,04/04/2025,L,12,18,4,19,21.1,1,10,10.0,9,10,90.0,3,4,7,2,6,2,0,6,-24
ORL,ORL @ WAS,04/03/2025,W,12,28,12,22,54.5,2,7,28.6,2,3,66.7,2,9,11,9,1,3,2,3,7
MIN,MIN @ BKN,04/03/2025,W,12,28,10,17,58.8,3,7,42.9,5,7,71.4,3,8,11,6,7,3,3,4,5
LAL,LAL vs. GSW,04/03/2025,L,12,39,14,26,53.8,8,18,44.4,3,3,100.0,4,4,8,8,2,3,0,7,4
MIL,MIL @ PHI,04/03/2025,W,12,30,11,21,52.4,2,6,33.3,6,7,85.7,2,9,11,7,2,0,2,6,4
MEM,MEM @ MIA,04/03/2025,W,12,26,11,26,42.3,4,11,36.4,0,0,0.0,6,12,18,6,2,0,2,4,3
POR,POR @ TOR,04/03/2025,W,12,29,8,14,57.1,2,5,40.0,11,12,91.7,3,10,13,3,8,2,0,5,2
TOR,TOR vs. POR,04/03/2025,L,12,27,11,24,45.8,3,11,27.3,2,2,100.0,3,3,6,7,3,4,0,6,-2
MIA,MIA vs. MEM,04/03/2025,L,12,23,8,24,33.3,3,7,42.9,4,4,100.0,3,9,12,5,0,2,5,3,-3
GSW,GSW @ LAL,04/03/2025,W,12,35,10,16,62.5,5,7,71.4,10,10,100.0,1,8,9,9,4,1,1,3,-4
PHI,PHI vs. MIL,04/03/2025,L,12,26,7,21,33.3,2,9,22.2,10,10,100.0,4,6,10,4,1,1,2,4,-4
BKN,BKN vs. MIN,04/03/2025,L,12,23,9,23,39.1,3,11,27.3,2,2,100.0,3,6,9,8,5,5,0,5,-5
WAS,WAS vs. ORL,04/03/2025,L,12,21,7,19,36.8,5,9,55.6,2,2,100.0,2,8,10,5,5,0,1,3,-7
CLE,CLE vs. NYK,04/02/2025,W,12,33,13,29,44.8,3,12,25.0,4,6,66.7,8,10,18,5,3,1,1,7,13
HOU,HOU vs. UTA,04/02/2025,W,12,41,15,25,60.0,8,15,53.3,3,4,75.0,2,12,14,9,1,1,0,2,11
MIA,MIA @ BOS,04/02/2025,W,12,33,11,19,57.9,6,9,66.7,5,6,83.3,1,6,7,11,1,5,0,3,11
SAC,SAC @ WAS,04/02/2025,L,12,34,10,25,40.0,3,11,27.3,11,16,68.8,7,9,16,4,1,2,0,8,9
LAC,LAC vs. NOP,04/02/2025,W,12,31,10,15,66.7,4,5,80.0,7,7,100.0,1,6,7,7,5,1,0,3,5
SAS,SAS @ DEN,04/02/2025,W,12,25,10,22,45.5,3,10,30.0,2,2,100.0,3,10,13,6,5,1,1,3,4
ATL,ATL @ DAL,04/02/2025,L,12,22,8,22,36.4,4,10,40.0,2,3,66.7,3,11,14,7,4,1,0,5,3
IND,IND vs. CHA,04/02/2025,W,12,32,12,20,60.0,5,10,50.0,3,3,100.0,3,2,5,6,1,2,2,3,0
CHA,CHA @ IND,04/02/2025,L,12,32,13,17,76.5,3,6,50.0,3,3,100.0,1,5,6,6,3,1,1,4,0
OKC,OKC vs. DET,04/02/2025,W,12,22,7,20,35.0,3,12,25.0,5,6,83.3,3,7,10,5,4,3,3,3,0
DET,DET @ OKC,04/02/2025,L,12,22,9,22,40.9,3,9,33.3,1,1,100.0,3,8,11,4,8,3,1,7,0
DAL,DAL vs. ATL,04/02/2025,W,12,19,8,20,40.0,2,9,22.2,1,2,50.0,0,8,8,5,2,2,2,3,-3
DEN,DEN vs. SAS,04/02/2025,L,12,21,9,23,39.1,1,10,10.0,2,3,66.7,3,6,9,3,3,4,2,2,-4
NOP,NOP @ LAC,04/02/2025,L,12,26,13,20,65.0,0,4,0.0,0,1,0.0,1,4,5,9,3,3,2,6,-5
WAS,WAS vs. SAC,04/02/2025,W,12,25,8,20,40.0,4,12,33.3,5,8,62.5,1,7,8,5,3,0,0,9,-9
UTA,UTA @ HOU,04/02/2025,L,12,30,12,25,48.0,3,12,25.0,3,3,100.0,1,9,10,7,2,0,0,2,-11
BOS,BOS vs. MIA,04/02/2025,L,12,22,9,20,45.0,2,12,16.7,2,3,66.7,4,7,11,6,5,1,3,3,-11
NYK,NYK @ CLE,04/02/2025,L,12,20,6,22,27.3,0,7,0.0,8,10,80.0,4,7,11,3,2,1,2,6,-13
ORL,ORL @ SAS,04/01/2025,W,12,37,14,21,66.7,4,8,50.0,5,5,100.0,2,11,13,8,6,3,1,3,16
GSW,GSW @ MEM,04/01/2025,W,12,31,9,24,37.5,3,14,21.4,10,10,100.0,4,11,15,7,3,4,1,2,9
DEN,DEN vs. MIN,04/01/2025,L,12,33,11,18,61.1,3,9,33.3,8,10,80.0,1,5,6,11,0,2,0,5,5
TOR,TOR @ CHI,04/01/2025,L,12,39,15,27,55.6,6,13,46.2,3,3,100.0,4,7,11,11,3,1,1,5,4
NYK,NYK vs. PHI,04/01/2025,W,12,25,9,22,40.9,2,7,28.6,5,5,100.0,2,12,14,6,2,1,0,4,4
