TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
IND,IND @ CLE,04/13/2025,W,12,38,15,30,50.0,3,11,27.3,5,5,100.0,6,13,19,8,2,3,2,4,18
HOU,HOU vs. DEN,04/13/2025,L,12,40,16,25,64.0,6,10,60.0,2,4,50.0,5,10,15,11,3,2,1,10,16
CHI,CHI @ PHI,04/13/2025,W,12,36,13,24,54.2,3,8,37.5,7,8,87.5,4,11,15,9,3,2,0,5,9
SAS,SAS vs. TOR,04/13/2025,W,12,32,9,18,50.0,1,6,16.7,13,16,81.3,3,11,14,4,3,3,0,3,9
MIA,MIA vs. WAS,04/13/2025,L,12,32,13,24,54.2,1,7,14.3,5,5,100.0,2,13,15,7,2,3,3,2,7
DET,DET @ MIL,04/13/2025,L,12,31,11,26,42.3,4,14,28.6,5,5,100.0,6,8,14,7,3,1,0,5,6
MEM,MEM vs. DAL,04/13/2025,W,12,28,13,27,48.1,2,6,33.3,0,0,0.0,8,7,15,3,4,3,2,2,6
BOS,BOS vs. CHA,04/13/2025,W,12,24,9,22,40.9,4,8,50.0,2,2,100.0,6,6,12,4,5,5,2,4,6
ATL,ATL vs. ORL,04/13/2025,W,12,25,9,19,47.4,4,7,57.1,3,6,50.0,2,9,11,7,4,1,0,4,4
NOP,NOP vs. OKC,04/13/2025,L,12,28,9,20,45.0,2,8,25.0,8,11,72.7,1,11,12,5,2,2,1,4,3
UTA,UTA @ MIN,04/13/2025,L,12,28,11,24,45.8,4,10,40.0,2,3,66.7,5,10,15,7,5,3,2,6,2
NYK,NYK @ BKN,04/13/2025,W,12,24,8,20,40.0,3,10,30.0,5,5,100.0,2,8,10,6,2,2,1,4,2
GSW,GSW vs. LAC,04/13/2025,L,12,29,9,13,69.2,4,5,80.0,7,8,87.5,1,2,3,5,3,2,0,3,1
PHX,PHX @ SAC,04/13/2025,L,12,23,10,23,43.5,1,5,20.0,2,2,100.0,3,7,10,3,1,2,0,1,0
SAC,SAC vs. PHX,04/13/2025,W,12,23,10,20,50.0,3,7,42.9,0,0,0.0,1,10,11,8,5,0,2,3,0
POR,POR vs. LAL,04/13/2025,W,12,20,8,20,40.0,3,11,27.3,1,1,100.0,3,6,9,5,6,1,2,2,0
LAL,LAL @ POR,04/13/2025,L,12,20,9,20,45.0,2,6,33.3,0,0,0.0,2,7,9,6,5,3,3,3,0
LAC,LAC @ GSW,04/13/2025,W,12,28,12,18,66.7,1,1,100.0,3,3,100.0,3,4,7,8,2,2,1,6,-1
MIN,MIN vs. UTA,04/13/2025,W,12,26,9,24,37.5,4,14,28.6,4,8,50.0,7,8,15,5,4,4,2,3,-2
BKN,BKN vs. NYK,04/13/2025,L,12,22,8,17,47.1,2,9,22.2,4,5,80.0,1,9,10,5,4,0,1,7,-2
OKC,OKC @ NOP,04/13/2025,W,12,25,8,26,30.8,2,16,12.5,7,7,100.0,6,8,14,4,2,2,2,7,-3
ORL,ORL @ ATL,04/13/2025,L,12,21,8,20,40.0,3,6,50.0,2,4,50.0,2,9,11,5,4,1,1,4,-4
MIL,MIL vs. DET,04/13/2025,W,12,25,9,19,47.4,3,7,42.9,4,5,80.0,1,7,8,4,6,1,1,5,-6
DAL,DAL @ MEM,04/13/2025,L,12,22,9,18,50.0,2,7,28.6,2,2,100.0,0,4,4,6,4,1,0,1,-6
CHA,CHA @ BOS,04/13/2025,L,12,18,6,19,31.6,4,12,33.3,2,4,50.0,6,6,12,5,8,5,1,4,-6
WAS,WAS @ MIA,04/13/2025,W,12,25,9,23,39.1,5,11,45.5,2,4,50.0,2,9,11,7,4,1,1,4,-7
PHI,PHI vs. CHI,04/13/2025,L,12,27,8,22,36.4,5,10,50.0,6,7,85.7,2,7,9,5,3,1,1,4,-9
TOR,TOR @ SAS,04/13/2025,L,12,23,10,24,41.7,2,12,16.7,1,2,50.0,4,6,10,4,4,2,1,10,-9
DEN,DEN @ HOU,04/13/2025,W,12,24,6,17,35.3,0,5,0.0,12,15,80.0,0,5,5,3,2,2,1,4,-16
CLE,CLE vs. IND,04/13/2025,L,12,20,7,25,28.0,3,16,18.8,3,6,50.0,5,6,11,3,5,2,1,4,-18
BOS,BOS vs. CHA,04/11/2025,W,12,39,16,25,64.0,6,13,46.2,1,1,100.0,2,12,14,11,4,5,3,4,20
IND,IND vs. ORL,04/11/2025,L,12,39,15,27,55.6,4,7,57.1,5,8,62.5,7,10,17,9,4,2,1,4,19
CLE,CLE @ NYK,04/11/2025,W,12,30,11,17,64.7,4,9,44.4,4,6,66.7,1,13,14,5,2,1,2,4,14
OKC,OKC @ UTA,04/11/2025,W,12,38,15,25,60.0,5,12,41.7,3,6,50.0,1,11,12,8,3,3,2,5,13
MIA,MIA @ NOP,04/11/2025,W,12,43,18,29,62.1,4,10,40.0,3,3,100.0,1,11,12,11,2,5,2,5,11
