TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
GSW,GSW @ NOP,04/10/2022,W,12,41,13,18,72.2,6,8,75.0,9,11,81.8,2,11,13,9,4,1,1,3,19
BOS,BOS @ MEM,04/10/2022,W,12,40,14,21,66.7,7,11,63.6,5,5,100.0,1,11,12,6,7,3,0,8,16
UTA,UTA @ POR,04/10/2022,W,12,36,11,20,55.0,4,11,36.4,10,12,83.3,4,10,14,7,3,2,0,6,15
CHI,CHI @ MIN,04/10/2022,W,12,37,13,20,65.0,4,6,66.7,7,10,70.0,2,9,11,7,6,5,2,3,11
ORL,ORL vs. MIA,04/10/2022,W,12,37,12,21,57.1,5,11,45.5,8,10,80.0,2,12,14,9,2,0,1,7,9
SAC,SAC @ PHX,04/10/2022,W,12,34,12,18,66.7,4,6,66.7,6,9,66.7,1,8,9,5,4,3,3,1,7
CLE,CLE vs. MIL,04/10/2022,W,12,33,13,25,52.0,2,9,22.2,5,6,83.3,3,12,15,10,3,2,2,5,7
OKC,OKC @ LAC,04/10/2022,L,12,33,14,28,50.0,4,10,40.0,1,1,100.0,3,10,13,5,2,2,0,5,6
TOR,TOR @ NYK,04/10/2022,L,12,26,10,26,38.5,2,12,16.7,4,4,100.0,2,10,12,9,4,5,0,4,6
BKN,BKN vs. IND,04/10/2022,W,12,35,11,18,61.1,2,6,33.3,11,12,91.7,3,9,12,6,5,3,2,3,4
DET,DET @ PHI,04/10/2022,L,12,30,12,25,48.0,4,11,36.4,2,6,33.3,5,9,14,7,3,0,0,5,4
ATL,ATL @ HOU,04/10/2022,W,12,38,14,22,63.6,6,10,60.0,4,5,80.0,2,10,12,8,2,1,0,3,3
DEN,DEN vs. LAL,04/10/2022,L,12,36,10,20,50.0,2,9,22.2,14,15,93.3,4,11,15,8,4,1,1,7,3
DAL,DAL vs. SAS,04/10/2022,W,12,31,10,26,38.5,5,9,55.6,6,8,75.0,3,7,10,6,1,3,0,6,1
WAS,WAS @ CHA,04/10/2022,L,12,25,9,20,45.0,2,5,40.0,5,9,55.6,1,5,6,8,3,4,0,3,1
