KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
MIN-PHX-04/14/2024,MIN,MIN vs. PHX,04/14/2024,L,12,22,9,16,56.3,3,7,42.9,1,1,100.0,3,6,9,5,11,1,0,4,-22,PHX,PHX @ MIN,04/14/2024,W,12,44,16,24,66.7,8,11,72.7,4,5,80.0,3,3,6,10,1,7,2,2,22
OKC-DAL-04/14/2024,OKC,OKC vs. DAL,04/14/2024,W,12,39,17,28,60.7,3,11,27.3,2,2,100.0,3,9,12,11,2,1,2,6,17,DAL,DAL @ OKC,04/14/2024,L,12,22,7,19,36.8,3,7,42.9,5,7,71.4,0,7,7,5,7,1,0,3,-17
IND-ATL-04/14/2024,IND,IND vs. ATL,04/14/2024,W,12,49,20,27,74.1,6,11,54.5,3,3,100.0,5,9,14,10,4,2,2,7,15,ATL,ATL @ IND,04/14/2024,L,12,34,11,22,50.0,4,10,40.0,8,8,100.0,1,2,3,7,3,2,2,3,-15
SAC-POR-04/14/2024,SAC,SAC vs. POR,04/14/2024,W,12,30,11,18,61.1,3,8,37.5,5,7,71.4,0,10,10,8,5,5,1,5,12,POR,POR @ SAC,04/14/2024,L,12,18,6,28,21.4,1,19,5.3,5,5,100.0,9,8,17,4,6,5,0,5,-12
CLE-CHA-04/14/2024,CLE,CLE vs. CHA,04/14/2024,L,12,33,13,26,50.0,5,8,62.5,2,2,100.0,3,13,16,10,2,1,1,2,9,CHA,CHA @ CLE,04/14/2024,W,12,24,9,26,34.6,5,14,35.7,1,1,100.0,3,10,13,9,2,1,3,1,-9
ORL-MIL-04/14/2024,ORL,ORL vs. MIL,04/14/2024,W,12,22,9,22,40.9,2,8,25.0,2,3,66.7,2,9,11,7,3,1,1,4,-8,MIL,MIL @ ORL,04/14/2024,L,12,30,10,25,40.0,3,9,33.3,7,8,87.5,5,11,16,5,2,2,1,2,8
GSW-UTA-04/14/2024,GSW,GSW vs. UTA,04/14/2024,W,12,33,12,22,54.5,4,12,33.3,5,5,100.0,1,4,5,8,1,2,1,3,6,UTA,UTA @ GSW,04/14/2024,L,12,27,12,21,57.1,1,6,16.7,2,2,100.0,3,6,9,5,5,1,1,4,-6
NOP-LAL-04/14/2024,NOP,NOP vs. LAL,04/14/2024,L,12,24,10,20,50.0,4,11,36.4,0,0,0.0,0,8,8,7,4,2,0,4,-6,LAL,LAL @ NOP,04/14/2024,W,12,30,13,23,56.5,2,6,33.3,2,2,100.0,2,6,8,11,2,3,1,1,6
SAS-DET-04/14/2024,SAS,SAS vs. DET,04/14/2024,W,12,29,12,24,50.0,4,8,50.0,1,2,50.0,4,10,14,8,4,3,1,4,6,DET,DET @ SAS,04/14/2024,L,12,23,10,25,40.0,1,5,20.0,2,3,66.7,3,9,12,6,5,2,2,2,-6
BOS-WAS-04/14/2024,BOS,BOS vs. WAS,04/14/2024,W,12,34,13,25,52.0,3,8,37.5,5,7,71.4,3,9,12,8,1,3,4,3,4,WAS,WAS @ BOS,04/14/2024,L,12,30,12,25,48.0,3,9,33.3,3,3,100.0,1,9,10,7,3,0,1,6,-4
MEM-DEN-04/14/2024,MEM,MEM vs. DEN,04/14/2024,L,12,26,12,31,38.7,1,7,14.3,1,2,50.0,8,9,17,5,3,2,1,4,-3,DEN,DEN @ MEM,04/14/2024,W,12,29,11,21,52.4,4,7,57.1,3,5,60.0,3,11,14,7,6,1,2,3,3
LAC-HOU-04/14/2024,LAC,LAC vs. HOU,04/14/2024,L,12,21,10,26,38.5,0,4,0.0,1,1,100.0,4,9,13,5,2,3,2,1,-3,HOU,HOU @ LAC,04/14/2024,W,12,24,10,25,40.0,4,12,33.3,0,2,0.0,5,11,16,7,4,2,0,2,3
NYK-CHI-04/14/2024,NYK,NYK vs. CHI,04/14/2024,W,12,29,12,24,50.0,3,8,37.5,2,2,100.0,5,5,10,7,4,3,0,2,1,CHI,CHI @ NYK,04/14/2024,L,12,28,12,18,66.7,3,7,42.9,1,2,50.0,1,5,6,6,5,4,2,3,-1
PHI-BKN-04/14/2024,PHI,PHI vs. BKN,04/14/2024,W,12,22,10,24,41.7,1,7,14.3,1,2,50.0,1,12,13,6,1,1,3,4,-1,BKN,BKN @ PHI,04/14/2024,L,12,23,8,22,36.4,4,10,40.0,3,4,75.0,0,13,13,6,2,0,1,1,1
MIA-TOR-04/14/2024,MIA,MIA vs. TOR,04/14/2024,W,12,24,7,20,35.0,2,8,25.0,8,9,88.9,4,10,14,4,7,3,0,7,0,TOR,TOR @ MIA,04/14/2024,L,12,24,8,19,42.1,0,8,0.0,8,10,80.0,1,9,10,6,4,2,0,6,0
NYK-BKN-04/12/2024,NYK,NYK vs. BKN,04/12/2024,W,12,14,5,20,25.0,2,8,25.0,2,2,100.0,2,5,7,4,1,0,0,4,-16,BKN,BKN @ NYK,04/12/2024,L,12,30,13,22,59.1,3,7,42.9,1,2,50.0,4,9,13,6,1,0,0,4,16
PHI-ORL-04/12/2024,PHI,PHI vs. ORL,04/12/2024,W,12,40,13,24,54.2,7,13,53.8,7,8,87.5,1,12,13,7,2,1,0,6,13,ORL,ORL @ PHI,04/12/2024,L,12,27,10,21,47.6,1,5,20.0,6,8,75.0,0,9,9,5,3,1,1,6,-13
LAC-UTA-04/12/2024,LAC,LAC vs. UTA,04/12/2024,L,12,38,15,25,60.0,4,9,44.4,4,5,80.0,5,6,11,8,3,2,2,2,11,UTA,UTA @ LAC,04/12/2024,W,12,27,12,23,52.2,1,9,11.1,2,3,66.7,3,5,8,6,5,2,1,2,-11
MIA-TOR-04/12/2024,MIA,MIA vs. TOR,04/12/2024,W,12,33,12,20,60.0,4,9,44.4,5,6,83.3,2,9,11,10,1,0,0,5,11,TOR,TOR @ MIA,04/12/2024,L,12,22,8,19,42.1,1,8,12.5,5,5,100.0,1,6,7,4,3,0,0,5,-11
CLE-IND-04/12/2024,CLE,CLE vs. IND,04/12/2024,W,12,35,15,25,60.0,3,6,50.0,2,5,40.0,3,8,11,7,2,2,1,3,9,IND,IND @ CLE,04/12/2024,L,12,26,11,21,52.4,3,7,42.9,1,3,33.3,1,9,10,9,6,1,0,3,-9
GSW-NOP-04/12/2024,GSW,GSW vs. NOP,04/12/2024,L,12,26,9,24,37.5,2,8,25.0,6,6,100.0,3,16,19,5,2,3,0,3,9,NOP,NOP @ GSW,04/12/2024,W,12,17,7,25,28.0,1,8,12.5,2,3,66.7,2,12,14,4,3,0,1,4,-9
