KEY,(H)PTS,(H)FGM,(H)FGA,(H)3PM,(H)3PA,(H)FTM,(H)FTA,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)PTS,(A)FGM,(A)FGA,(A)3PM,(A)3PA,(A)FTM,(A)FTA,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-,total_score,score_diff,abs_score_diff,total_pts_q123,pace,h_fg_pct,a_fg_pct,h_3p_pct,a_3p_pct,h_ft_pct,a_ft_pct,posted_total,season,under
ORL-MIA-04/10/2022,101.0,36.0,67.0,18.0,39.0,11.0,13.0,5.0,31.0,36.0,26.0,9.0,3.0,3.0,16.0,13.0,88.0,30.0,72.0,16.0,41.0,12.0,16.0,9.0,24.0,33.0,16.0,8.0,5.0,3.0,10.0,-13.0,236.0,13.0,13.0,189.0,139.0,0.5373134328358209,0.4166666666666667,0.46153846153846156,0.3902439024390244,0.8461538461538461,0.75,218.0,2022,0.0
LAC-SAC-04/09/2022,92.0,35.0,70.0,17.0,34.0,5.0,7.0,7.0,34.0,41.0,23.0,12.0,6.0,2.0,16.0,21.0,71.0,28.0,66.0,4.0,21.0,11.0,17.0,2.0,28.0,30.0,17.0,8.0,9.0,1.0,10.0,-21.0,215.0,21.0,21.0,163.0,136.0,0.5,0.42424242424242425,0.5,0.19047619047619047,0.7142857142857143,0.6470588235294118,224.5,2022,1.0
PHI-IND-04/09/2022,100.0,38.0,67.0,7.0,21.0,17.0,22.0,10.0,21.0,31.0,27.0,10.0,11.0,2.0,16.0,10.0,90.0,32.0,61.0,9.0,19.0,17.0,23.0,6.0,17.0,23.0,23.0,13.0,6.0,5.0,16.0,-10.0,253.0,10.0,10.0,190.0,128.0,0.5671641791044776,0.5245901639344263,0.3333333333333333,0.47368421052631576,0.7727272727272727,0.7391304347826086,237.0,2022,0.0
MEM-NOP-04/09/2022,119.0,44.0,69.0,15.0,25.0,16.0,18.0,8.0,30.0,38.0,33.0,13.0,4.0,5.0,18.0,39.0,80.0,30.0,67.0,4.0,22.0,16.0,25.0,7.0,14.0,21.0,15.0,12.0,6.0,3.0,16.0,-39.0,255.0,39.0,39.0,199.0,136.0,0.6376811594202898,0.44776119402985076,0.6,0.18181818181818182,0.8888888888888888,0.64,229.5,2022,0.0
SAS-GSW-04/09/2022,71.0,23.0,59.0,7.0,23.0,18.0,24.0,4.0,27.0,31.0,14.0,10.0,4.0,2.0,18.0,-7.0,78.0,27.0,65.0,6.0,26.0,18.0,23.0,12.0,28.0,40.0,18.0,9.0,7.0,1.0,16.0,7.0,194.0,-7.0,7.0,149.0,124.0,0.3898305084745763,0.4153846153846154,0.30434782608695654,0.23076923076923078,0.75,0.782608695652174,218.5,2022,1.0
DAL-POR-04/08/2022,107.0,34.0,58.0,19.0,39.0,20.0,27.0,8.0,28.0,36.0,19.0,11.0,5.0,5.0,12.0,38.0,69.0,29.0,67.0,6.0,25.0,5.0,8.0,5.0,14.0,19.0,18.0,12.0,7.0,0.0,19.0,-38.0,206.0,38.0,38.0,176.0,125.0,0.5862068965517241,0.43283582089552236,0.48717948717948717,0.24,0.7407407407407407,0.625,222.0,2022,1.0
DET-MIL-04/08/2022,68.0,24.0,68.0,6.0,37.0,14.0,16.0,8.0,28.0,36.0,16.0,12.0,6.0,5.0,17.0,-22.0,90.0,33.0,74.0,9.0,30.0,15.0,17.0,8.0,31.0,39.0,19.0,7.0,5.0,1.0,15.0,22.0,232.0,-22.0,22.0,158.0,142.0,0.35294117647058826,0.44594594594594594,0.16216216216216217,0.3,0.875,0.8823529411764706,232.0,2022,
TOR-HOU-04/08/2022,85.0,30.0,72.0,6.0,23.0,19.0,20.0,10.0,19.0,29.0,14.0,7.0,8.0,3.0,13.0,-10.0,95.0,36.0,64.0,9.0,25.0,14.0,15.0,6.0,28.0,34.0,20.0,14.0,4.0,3.0,14.0,10.0,232.0,-10.0,10.0,180.0,136.0,0.4166666666666667,0.5625,0.2608695652173913,0.36,0.95,0.9333333333333333,228.0,2022,0.0
BKN-CLE-04/08/2022,83.0,31.0,70.0,7.0,23.0,14.0,14.0,10.0,24.0,34.0,22.0,9.0,3.0,7.0,19.0,-5.0,88.0,31.0,61.0,7.0,22.0,19.0,24.0,7.0,17.0,24.0,14.0,6.0,3.0,2.0,16.0,5.0,225.0,-5.0,5.0,171.0,131.0,0.44285714285714284,0.5081967213114754,0.30434782608695654,0.3181818181818182,1.0,0.7916666666666666,233.0,2022,1.0
CHI-CHA-04/08/2022,83.0,32.0,61.0,8.0,17.0,11.0,14.0,6.0,15.0,21.0,18.0,10.0,3.0,0.0,11.0,-28.0,111.0,43.0,65.0,15.0,28.0,10.0,10.0,6.0,20.0,26.0,29.0,6.0,6.0,3.0,14.0,28.0,250.0,-28.0,28.0,194.0,126.0,0.5245901639344263,0.6615384615384615,0.47058823529411764,0.5357142857142857,0.7857142857142857,1.0,236.5,2022,0.0
