KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
BKN-PHI-04/09/2023,BKN,BKN vs. PHI,04/09/2023,L,12.0,13,5,22,0.227,0,8,0.0,3,4,0.75,4,7,11,4,5.0,1,1,8,-21.0,PHI,PHI @ BKN,04/09/2023,W,12.0,34,13,23,0.565,3,7,0.429,5,7,0.714,3,13,16,8,3.0,2,1,4,21.0
CHI-DET-04/09/2023,CHI,CHI vs. DET,04/09/2023,W,12.0,36,12,23,0.522,3,11,0.273,9,11,0.818,1,9,10,5,1.0,6,2,5,19.0,DET,DET @ CHI,04/09/2023,L,12.0,17,6,18,0.333,0,6,0.0,5,5,1.0,3,10,13,6,9.0,0,2,6,-19.0
CLE-CHA-04/09/2023,CLE,CLE vs. CHA,04/09/2023,L,12.0,20,8,22,0.364,1,10,0.1,3,3,1.0,2,4,6,5,3.0,4,0,6,-16.0,CHA,CHA @ CLE,04/09/2023,W,12.0,36,12,15,0.8,4,4,1.0,8,10,0.8,1,11,12,7,7.0,3,1,2,16.0
MIA-ORL-04/09/2023,MIA,MIA vs. ORL,04/09/2023,W,12.0,39,12,17,0.706,7,12,0.583,8,9,0.889,2,12,14,8,9.0,5,1,8,14.0,ORL,ORL @ MIA,04/09/2023,L,12.0,25,8,24,0.333,3,9,0.333,6,9,0.667,4,3,7,7,5.0,7,0,7,-14.0
NYK-IND-04/09/2023,NYK,NYK vs. IND,04/09/2023,L,12.0,29,10,28,0.357,6,12,0.5,3,3,1.0,5,8,13,6,4.0,1,3,7,-12.0,IND,IND @ NYK,04/09/2023,W,12.0,41,13,25,0.52,5,9,0.556,10,11,0.909,3,12,15,9,3.0,3,5,7,12.0
DEN-SAC-04/09/2023,DEN,DEN vs. SAC,04/09/2023,W,12.0,26,11,22,0.5,4,12,0.333,0,0,0.0,4,14,18,8,7.0,1,0,4,12.0,SAC,SAC @ DEN,04/09/2023,L,12.0,14,5,20,0.25,1,10,0.1,3,4,0.75,1,5,6,3,3.0,2,1,1,-12.0
POR-GSW-04/09/2023,POR,POR vs. GSW,04/09/2023,L,12.0,28,9,20,0.45,3,8,0.375,7,10,0.7,1,4,5,8,2.0,0,1,2,-11.0,GSW,GSW @ POR,04/09/2023,W,12.0,39,15,25,0.6,6,11,0.545,3,4,0.75,4,10,14,12,3.0,2,1,8,11.0
PHX-LAC-04/09/2023,PHX,PHX vs. LAC,04/09/2023,L,12.0,28,11,22,0.5,1,5,0.2,5,9,0.556,2,4,6,5,1.0,1,1,4,-9.0,LAC,LAC @ PHX,04/09/2023,W,12.0,37,16,29,0.552,0,2,0.0,5,5,1.0,8,8,16,7,1.0,1,1,6,9.0
MIN-NOP-04/09/2023,MIN,MIN vs. NOP,04/09/2023,W,12.0,30,8,20,0.4,3,8,0.375,11,14,0.786,3,11,14,5,4.0,2,1,7,7.0,NOP,NOP @ MIN,04/09/2023,L,12.0,23,7,20,0.35,0,7,0.0,9,11,0.818,1,11,12,4,4.0,3,0,11,-7.0
LAL-UTA-04/09/2023,LAL,LAL vs. UTA,04/09/2023,W,12.0,29,11,23,0.478,6,14,0.429,1,2,0.5,2,9,11,5,2.0,0,1,0,7.0,UTA,UTA @ LAL,04/09/2023,L,12.0,22,10,24,0.417,2,10,0.2,0,0,0.0,3,10,13,4,2.0,0,0,4,-7.0
