KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
OKC-DAL-04/14/2024,OKC,OKC vs. DAL,04/14/2024,W,12.0,43,15,25,0.6,4,9,0.444,9,9,1.0,5,14,19,10,4.0,2,0,4,24.0,DAL,DAL @ OKC,04/14/2024,L,12.0,19,8,25,0.32,2,12,0.167,1,2,0.5,2,2,4,6,2.0,3,0,7,-24.0
MIA-TOR-04/14/2024,MIA,MIA vs. TOR,04/14/2024,W,12.0,43,18,24,0.75,5,9,0.556,2,2,1.0,2,7,9,15,2.0,6,3,2,21.0,TOR,TOR @ MIA,04/14/2024,L,12.0,22,10,23,0.435,1,5,0.2,1,2,0.5,5,4,9,4,9.0,0,1,5,-21.0
SAS-DET-04/14/2024,SAS,SAS vs. DET,04/14/2024,W,12.0,34,13,22,0.591,4,8,0.5,4,4,1.0,2,16,18,10,5.0,1,0,2,17.0,DET,DET @ SAS,04/14/2024,L,12.0,17,7,27,0.259,1,11,0.091,2,2,1.0,3,7,10,1,2.0,3,0,2,-17.0
SAC-POR-04/14/2024,SAC,SAC vs. POR,04/14/2024,W,12.0,35,13,26,0.5,7,13,0.538,2,2,1.0,3,11,14,10,2.0,3,1,2,16.0,POR,POR @ SAC,04/14/2024,L,12.0,19,9,24,0.375,1,8,0.125,0,0,0.0,2,10,12,3,4.0,2,1,1,-16.0
ORL-MIL-04/14/2024,ORL,ORL vs. MIL,04/14/2024,W,12.0,25,9,19,0.474,1,6,0.167,6,6,1.0,1,14,15,4,5.0,3,2,4,13.0,MIL,MIL @ ORL,04/14/2024,L,12.0,12,3,17,0.176,1,7,0.143,5,5,1.0,0,7,7,2,5.0,4,1,5,-13.0
PHI-BKN-04/14/2024,PHI,PHI vs. BKN,04/14/2024,W,12.0,33,10,23,0.435,6,14,0.429,7,7,1.0,2,12,14,10,3.0,2,1,2,12.0,BKN,BKN @ PHI,04/14/2024,L,12.0,21,10,24,0.417,1,7,0.143,0,0,0.0,2,7,9,5,2.0,1,3,5,-12.0
NOP-LAL-04/14/2024,NOP,NOP vs. LAL,04/14/2024,L,12.0,29,8,22,0.364,5,14,0.357,8,8,1.0,3,6,9,6,5.0,0,0,3,-11.0,LAL,LAL @ NOP,04/14/2024,W,12.0,40,18,28,0.643,3,8,0.375,1,1,1.0,2,11,13,12,4.0,4,0,6,11.0
MEM-DEN-04/14/2024,MEM,MEM vs. DEN,04/14/2024,L,12.0,28,10,24,0.417,3,9,0.333,5,7,0.714,5,5,10,4,4.0,1,0,5,-9.0,DEN,DEN @ MEM,04/14/2024,W,12.0,37,14,28,0.5,3,12,0.25,6,6,1.0,6,9,15,9,2.0,2,2,6,9.0
MIN-PHX-04/14/2024,MIN,MIN vs. PHX,04/14/2024,L,12.0,31,10,13,0.769,4,6,0.667,7,10,0.7,0,7,7,6,8.0,2,3,5,9.0,PHX,PHX @ MIN,04/14/2024,W,12.0,22,10,23,0.435,1,5,0.2,1,1,1.0,3,2,5,6,5.0,3,0,9,-9.0
CLE-CHA-04/14/2024,CLE,CLE vs. CHA,04/14/2024,L,12.0,25,10,21,0.476,3,10,0.3,2,4,0.5,2,5,7,8,3.0,0,0,2,-8.0,CHA,CHA @ CLE,04/14/2024,W,12.0,33,13,23,0.565,6,11,0.545,1,2,0.5,3,10,13,10,3.0,3,0,4,8.0
BOS-WAS-04/14/2024,BOS,BOS vs. WAS,04/14/2024,W,12.0,35,13,19,0.684,6,10,0.6,3,5,0.6,1,8,9,8,5.0,2,5,6,6.0,WAS,WAS @ BOS,04/14/2024,L,12.0,29,11,26,0.423,2,10,0.2,5,5,1.0,4,6,10,7,4.0,2,0,3,-6.0
LAC-HOU-04/14/2024,LAC,LAC vs. HOU,04/14/2024,L,12.0,30,10,20,0.5,2,6,0.333,8,10,0.8,3,9,12,4,5.0,5,1,4,6.0,HOU,HOU @ LAC,04/14/2024,W,12.0,24,10,24,0.417,2,11,0.182,2,4,0.5,5,7,12,4,7.0,1,3,6,-6.0
NYK-CHI-04/14/2024,NYK,NYK vs. CHI,04/14/2024,W,12.0,21,8,21,0.381,1,6,0.167,4,6,0.667,2,11,13,6,3.0,2,0,3,2.0,CHI,CHI @ NYK,04/14/2024,L,12.0,19,8,26,0.308,1,10,0.1,2,2,1.0,6,12,18,4,4.0,2,1,6,-2.0
IND-ATL-04/14/2024,IND,IND vs. ATL,04/14/2024,W,12.0,37,15,28,0.536,3,9,0.333,4,6,0.667,5,7,12,8,3.0,2,2,6,-1.0,ATL,ATL @ IND,04/14/2024,L,12.0,38,13,22,0.591,3,6,0.5,9,10,0.9,3,8,11,8,3.0,1,2,6,1.0
GSW-UTA-04/14/2024,GSW,GSW vs. UTA,04/14/2024,W,12.0,30,11,23,0.478,4,8,0.5,4,5,0.8,2,12,14,8,5.0,3,1,3,1.0,UTA,UTA @ GSW,04/14/2024,L,12.0,29,12,24,0.5,4,11,0.364,1,5,0.2,2,11,13,5,5.0,3,2,5,-1.0
GSW-NOP-04/12/2024,GSW,GSW vs. NOP,04/12/2024,L,12.0,22,9,17,0.529,3,4,0.75,1,2,0.5,0,4,4,6,8.0,1,2,4,-23.0,NOP,NOP @ GSW,04/12/2024,W,12.0,45,16,23,0.696,10,13,0.769,3,4,0.75,1,8,9,12,3.0,6,1,2,23.0
BOS-CHA-04/12/2024,BOS,BOS vs. CHA,04/12/2024,W,12.0,39,16,24,0.667,5,12,0.417,2,5,0.4,4,9,13,11,3.0,4,0,4,20.0,CHA,CHA @ BOS,04/12/2024,L,12.0,19,7,18,0.389,4,7,0.571,1,2,0.5,1,4,5,5,8.0,0,0,6,-20.0
SAS-DEN-04/12/2024,SAS,SAS vs. DEN,04/12/2024,W,12.0,18,5,18,0.278,1,5,0.2,7,8,0.875,1,11,12,3,7.0,1,1,6,-19.0,DEN,DEN @ SAS,04/12/2024,L,12.0,37,14,25,0.56,4,8,0.5,5,6,0.833,0,10,10,9,1.0,3,2,4,19.0
POR-HOU-04/12/2024,POR,POR vs. HOU,04/12/2024,L,12.0,16,6,23,0.261,3,9,0.333,1,2,0.5,2,9,11,3,3.0,0,0,2,-15.0,HOU,HOU @ POR,04/12/2024,W,12.0,31,14,26,0.538,3,14,0.214,0,0,0.0,3,12,15,9,1.0,2,2,1,15.0
LAC-UTA-04/12/2024,LAC,LAC vs. UTA,04/12/2024,L,12.0,22,8,20,0.4,1,9,0.111,5,8,0.625,3,6,9,2,3.0,1,1,6,-12.0,UTA,UTA @ LAC,04/12/2024,W,12.0,34,11,25,0.44,3,13,0.231,9,11,0.818,6,9,15,7,2.0,1,0,6,12.0
MIN-ATL-04/12/2024,MIN,MIN vs. ATL,04/12/2024,W,12.0,31,11,20,0.55,4,10,0.4,5,6,0.833,1,9,10,9,3.0,4,2,7,11.0,ATL,ATL @ MIN,04/12/2024,L,12.0,20,7,19,0.368,1,5,0.2,5,8,0.625,2,8,10,6,6.0,1,0,7,-11.0
WAS-CHI-04/12/2024,WAS,WAS vs. CHI,04/12/2024,L,12.0,22,9,21,0.429,3,11,0.273,1,3,0.333,2,6,8,7,4.0,1,0,3,-10.0,CHI,CHI @ WAS,04/12/2024,W,12.0,32,13,26,0.5,4,9,0.444,2,2,1.0,6,11,17,8,4.0,4,0,5,10.0
OKC-MIL-04/12/2024,OKC,OKC vs. MIL,04/12/2024,W,12.0,28,12,22,0.545,2,9,0.222,2,3,0.667,1,7,8,7,3.0,7,3,1,10.0,MIL,MIL @ OKC,04/12/2024,L,12.0,18,8,22,0.364,2,8,0.25,0,0,0.0,4,9,13,5,9.0,2,0,3,-10.0
NYK-BKN-04/12/2024,NYK,NYK vs. BKN,04/12/2024,W,12.0,40,13,23,0.565,7,9,0.778,7,8,0.875,2,7,9,8,2.0,3,1,3,7.0,BKN,BKN @ NYK,04/12/2024,L,12.0,33,12,23,0.522,5,11,0.455,4,4,1.0,3,6,9,6,3.0,2,2,5,-7.0
PHI-ORL-04/12/2024,PHI,PHI vs. ORL,04/12/2024,W,12.0,28,9,19,0.474,4,7,0.571,6,7,0.857,1,5,6,6,5.0,2,3,8,-6.0,ORL,ORL @ PHI,04/12/2024,L,12.0,34,12,24,0.5,2,6,0.333,8,11,0.727,5,8,13,7,4.0,2,1,4,6.0
